N1,N2,N3,N4,N5,Peso,MetodoCalculo
5,17,24,29,34,4.505015593725271,Promedio
17,23,24,29,34,4.505015593725271,Promedio
17,21,24,29,34,4.49469258340226,Promedio
14,17,24,29,34,4.474014336917563,Promedio
5,17,23,24,34,4.449099287808965,Promedio
17,21,23,24,34,4.438776277485955,Promedio
5,17,21,24,34,4.438776277485955,Promedio
14,17,23,24,34,4.418098031001256,Promedio
5,14,17,24,34,4.418098031001256,Promedio
14,17,21,24,34,4.407775020678246,Promedio
5,17,23,29,34,4.406984592468463,Promedio
17,21,23,29,34,4.396661582145453,Promedio
5,17,21,29,34,4.396661582145453,Promedio
13,17,24,29,34,4.388709677419355,Promedio
17,22,24,29,34,4.388709677419355,Promedio
17,24,29,33,34,4.381139469849147,Promedio
14,17,23,29,34,4.375983335660755,Promedio
5,14,17,29,34,4.375983335660755,Promedio
14,17,21,29,34,4.365660325337744,Promedio
5,17,23,24,29,4.342468463436205,Promedio
5,23,24,29,34,4.342468463436205,Promedio
5,17,21,23,34,4.340745276229147,Promedio
5,17,22,24,34,4.332793371503048,Promedio
17,22,23,24,34,4.332793371503048,Promedio
13,17,23,24,34,4.332793371503048,Promedio
5,13,17,24,34,4.332793371503048,Promedio
21,23,24,29,34,4.332145453113195,Promedio
5,21,24,29,34,4.332145453113195,Promedio
17,21,23,24,29,4.332145453113195,Promedio
5,17,21,24,29,4.332145453113195,Promedio
5,17,24,33,34,4.325223163932841,Promedio
17,23,24,33,34,4.325223163932841,Promedio
17,21,22,24,34,4.322470361180038,Promedio
13,17,21,24,34,4.322470361180038,Promedio
5,14,17,23,34,4.3200670297444494,Promedio
17,21,24,33,34,4.31490015360983,Promedio
5,14,17,24,29,4.311467206628497,Promedio
14,23,24,29,34,4.311467206628497,Promedio
14,17,23,24,29,4.311467206628497,Promedio
5,14,24,29,34,4.311467206628497,Promedio
14,17,21,23,34,4.309744019421439,Promedio
5,14,17,21,34,4.309744019421439,Promedio
14,17,22,24,34,4.30179211469534,Promedio
13,14,17,24,34,4.30179211469534,Promedio
14,17,21,24,29,4.301144196305486,Promedio
14,21,24,29,34,4.301144196305486,Promedio
14,17,24,33,34,4.294221907125133,Promedio
17,22,23,29,34,4.290678676162547,Promedio
13,17,23,29,34,4.290678676162547,Promedio
5,17,22,29,34,4.290678676162547,Promedio
5,13,17,29,34,4.290678676162547,Promedio
17,23,29,33,34,4.2831084685923395,Promedio
5,17,29,33,34,4.2831084685923395,Promedio
17,21,22,29,34,4.2803556658395365,Promedio
13,17,21,29,34,4.2803556658395365,Promedio
5,17,21,23,24,4.276229147196889,Promedio
5,21,23,24,34,4.276229147196889,Promedio
17,21,29,33,34,4.272785458269329,Promedio
14,17,22,29,34,4.259677419354839,Promedio
13,14,17,29,34,4.259677419354839,Promedio
5,14,17,23,24,4.255550900712191,Promedio
5,14,23,24,34,4.255550900712191,Promedio
14,17,29,33,34,4.252107211784631,Promedio
5,14,17,21,24,4.245227890389181,Promedio
14,17,21,23,24,4.245227890389181,Promedio
14,21,23,24,34,4.245227890389181,Promedio
5,14,21,24,34,4.245227890389181,Promedio
5,17,22,23,34,4.234762370246242,Promedio
5,13,17,23,34,4.234762370246242,Promedio
5,21,23,29,34,4.234114451856388,Promedio
5,17,21,23,29,4.234114451856388,Promedio
5,17,23,33,34,4.227192162676034,Promedio
5,13,17,24,29,4.226162547130289,Promedio
13,17,23,24,29,4.226162547130289,Promedio
5,22,24,29,34,4.226162547130289,Promedio
5,13,24,29,34,4.226162547130289,Promedio
5,17,22,24,29,4.226162547130289,Promedio
13,23,24,29,34,4.226162547130289,Promedio
22,23,24,29,34,4.226162547130289,Promedio
17,22,23,24,29,4.226162547130289,Promedio
5,13,17,21,34,4.224439359923231,Promedio
17,21,22,23,34,4.224439359923231,Promedio
13,17,21,23,34,4.224439359923231,Promedio
5,17,21,22,34,4.224439359923231,Promedio
17,23,24,29,33,4.2185923395600815,Promedio
5,17,24,29,33,4.2185923395600815,Promedio
5,24,29,33,34,4.2185923395600815,Promedio
23,24,29,33,34,4.2185923395600815,Promedio
5,17,21,33,34,4.2168691523530235,Promedio
17,21,23,33,34,4.2168691523530235,Promedio
13,17,22,24,34,4.216487455197132,Promedio
13,21,24,29,34,4.2158395368072785,Promedio
13,17,21,24,29,4.2158395368072785,Promedio
17,21,22,24,29,4.2158395368072785,Promedio
21,22,24,29,34,4.2158395368072785,Promedio
5,14,23,29,34,4.213436205371689,Promedio
5,14,17,23,29,4.213436205371689,Promedio
13,17,24,33,34,4.208917247626925,Promedio
17,22,24,33,34,4.208917247626925,Promedio
21,24,29,33,34,4.208269329237071,Promedio
17,21,24,29,33,4.208269329237071,Promedio
13,14,17,23,34,4.203761113438533,Promedio
5,13,14,17,34,4.203761113438533,Promedio
5,14,17,22,34,4.203761113438533,Promedio
14,17,22,23,34,4.203761113438533,Promedio
14,17,21,23,29,4.203113195048679,Promedio
14,21,23,29,34,4.203113195048679,Promedio
5,14,17,21,29,4.203113195048679,Promedio
5,14,21,29,34,4.203113195048679,Promedio
5,14,17,33,34,4.196190905868326,Promedio
14,17,23,33,34,4.196190905868326,Promedio
13,14,17,24,29,4.195161290322581,Promedio
13,14,24,29,34,4.195161290322581,Promedio
14,22,24,29,34,4.195161290322581,Promedio
14,17,22,24,29,4.195161290322581,Promedio
13,14,17,21,34,4.193438103115523,Promedio
14,17,21,22,34,4.193438103115523,Promedio
14,17,24,29,33,4.187591082752373,Promedio
14,24,29,33,34,4.187591082752373,Promedio
14,17,21,33,34,4.185867895545315,Promedio
13,17,22,29,34,4.174372759856631,Promedio
5,13,23,24,34,4.170246241213984,Promedio
5,22,23,24,34,4.170246241213984,Promedio
5,13,17,23,24,4.170246241213984,Promedio
5,17,22,23,24,4.170246241213984,Promedio
5,21,23,24,29,4.16959832282413,Promedio
13,17,29,33,34,4.166802552286423,Promedio
17,22,29,33,34,4.166802552286423,Promedio
5,23,24,33,34,4.162676033643776,Promedio
5,17,23,24,33,4.162676033643776,Promedio
21,22,23,24,34,4.159923230890973,Promedio
13,21,23,24,34,4.159923230890973,Promedio
17,21,22,23,24,4.159923230890973,Promedio
13,17,21,23,24,4.159923230890973,Promedio
5,13,17,21,24,4.159923230890973,Promedio
5,13,21,24,34,4.159923230890973,Promedio
5,17,21,22,24,4.159923230890973,Promedio
5,21,22,24,34,4.159923230890973,Promedio
5,17,21,24,33,4.1523530233207655,Promedio
17,21,23,24,33,4.1523530233207655,Promedio
21,23,24,33,34,4.1523530233207655,Promedio
5,21,24,33,34,4.1523530233207655,Promedio
5,14,23,24,29,4.148920076339431,Promedio
5,14,21,23,34,4.147196889132373,Promedio
5,14,17,21,23,4.147196889132373,Promedio
13,14,17,23,24,4.139244984406275,Promedio
14,17,22,23,24,4.139244984406275,Promedio
13,14,23,24,34,4.139244984406275,Promedio
14,22,23,24,34,4.139244984406275,Promedio
5,13,14,24,34,4.139244984406275,Promedio
5,13,14,17,24,4.139244984406275,Promedio
5,14,17,22,24,4.139244984406275,Promedio
5,14,22,24,34,4.139244984406275,Promedio
5,14,21,24,29,4.138597066016421,Promedio
14,21,23,24,29,4.138597066016421,Promedio
5,14,17,24,33,4.131674776836068,Promedio
14,23,24,33,34,4.131674776836068,Promedio
5,14,24,33,34,4.131674776836068,Promedio
14,17,23,24,33,4.131674776836068,Promedio
13,14,21,24,34,4.128921974083265,Promedio
14,17,21,22,24,4.128921974083265,Promedio
13,14,17,21,24,4.128921974083265,Promedio
14,21,22,24,34,4.128921974083265,Promedio
5,22,23,29,34,4.128131545873481,Promedio
5,13,23,29,34,4.128131545873481,Promedio
5,17,22,23,29,4.128131545873481,Promedio
5,13,17,23,29,4.128131545873481,Promedio
14,21,24,33,34,4.121351766513057,Promedio
14,17,21,24,33,4.121351766513057,Promedio
5,17,23,29,33,4.120561338303274,Promedio
5,23,29,33,34,4.120561338303274,Promedio
5,13,17,22,34,4.1184564539403254,Promedio
13,17,22,23,34,4.1184564539403254,Promedio
5,21,22,29,34,4.117808535550471,Promedio
21,22,23,29,34,4.117808535550471,Promedio
5,13,17,21,29,4.117808535550471,Promedio
5,17,21,22,29,4.117808535550471,Promedio
17,21,22,23,29,4.117808535550471,Promedio
5,13,21,29,34,4.117808535550471,Promedio
13,17,21,23,29,4.117808535550471,Promedio
13,21,23,29,34,4.117808535550471,Promedio
5,17,22,33,34,4.110886246370118,Promedio
13,17,23,33,34,4.110886246370118,Promedio
17,22,23,33,34,4.110886246370118,Promedio
5,13,17,33,34,4.110886246370118,Promedio
21,23,29,33,34,4.110238327980263,Promedio
5,17,21,29,33,4.110238327980263,Promedio
5,21,29,33,34,4.110238327980263,Promedio
17,21,23,29,33,4.110238327980263,Promedio
13,17,22,24,29,4.109856630824373,Promedio
13,22,24,29,34,4.109856630824373,Promedio
13,17,21,22,34,4.108133443617315,Promedio
17,22,24,29,33,4.102286423254165,Promedio
22,24,29,33,34,4.102286423254165,Promedio
13,24,29,33,34,4.102286423254165,Promedio
13,17,24,29,33,4.102286423254165,Promedio
13,17,21,33,34,4.100563236047107,Promedio
17,21,22,33,34,4.100563236047107,Promedio
14,17,22,23,29,4.097130289065773,Promedio
13,14,17,23,29,4.097130289065773,Promedio
5,14,22,29,34,4.097130289065773,Promedio
5,13,14,17,29,4.097130289065773,Promedio
14,22,23,29,34,4.097130289065773,Promedio
5,14,17,22,29,4.097130289065773,Promedio
13,14,23,29,34,4.097130289065773,Promedio
5,13,14,29,34,4.097130289065773,Promedio
5,14,17,29,33,4.0895600814955655,Promedio
5,14,29,33,34,4.0895600814955655,Promedio
14,17,23,29,33,4.0895600814955655,Promedio
14,23,29,33,34,4.0895600814955655,Promedio
13,14,17,22,34,4.087455197132616,Promedio
14,17,21,22,29,4.0868072787427625,Promedio
13,14,17,21,29,4.0868072787427625,Promedio
13,14,21,29,34,4.0868072787427625,Promedio
14,21,22,29,34,4.0868072787427625,Promedio
5,14,21,23,24,4.082680760100115,Promedio
14,17,22,33,34,4.079884989562409,Promedio
13,14,17,33,34,4.079884989562409,Promedio
