N1,N2,N3,N4,N5,Peso,MetodoCalculo
13,16,18,31,35,4.454902201155062,Fusión
13,16,18,30,35,4.395533671134358,Fusión
5,13,16,18,35,4.379792930393617,Fusión
13,16,30,31,35,4.36674430641822,Fusión
11,13,16,18,35,4.360388743598126,Fusión
5,13,16,31,35,4.3510035656774795,Fusión
11,13,16,31,35,4.331599378881988,Fusión
13,14,16,18,35,4.331236012271482,Fusión
1,13,16,18,35,4.3264160240755345,Fusión
13,16,18,30,31,4.319446714612619,Fusión
13,18,30,31,35,4.3132355344883955,Fusión
5,13,16,18,31,4.303705973871878,Fusión
13,14,16,31,35,4.302446647555344,Fusión
6,13,16,18,35,4.299881497221314,Fusión
16,18,30,31,35,4.299648577966656,Fusión
1,13,16,31,35,4.297626659359397,Fusión
5,13,18,31,35,4.297494793747655,Fusión
12,13,16,18,35,4.295895989974937,Fusión
13,16,18,28,35,4.292408671134358,Fusión
5,13,16,30,35,4.291635035656775,Fusión
11,13,16,18,31,4.284301787076386,Fusión
5,16,18,31,35,4.283907837225915,Fusión
11,13,18,31,35,4.278090606952163,Fusión
11,13,16,30,35,4.272230848861284,Fusión
6,13,16,31,35,4.271092132505176,Fusión
12,13,16,31,35,4.2671066252587995,Fusión
11,16,18,31,35,4.264503650430424,Fusión
13,16,28,31,35,4.26361930641822,Fusión
5,11,13,16,35,4.256490108120543,Fusión
13,14,16,18,31,4.255149055749742,Fusión
1,13,16,18,31,4.250329067553795,Fusión
13,14,18,31,35,4.2489378756255185,Fusión
5,13,16,18,30,4.244337443851173,Fusión
1,13,18,31,35,4.244117887429572,Fusión
13,14,16,30,35,4.2430781175346395,Fusión
1,13,16,30,35,4.238258129338692,Fusión
5,13,18,30,35,4.23812626372695,Fusión
14,16,18,31,35,4.23535091910378,Fusión
1,16,18,31,35,4.2305309309078325,Fusión
5,13,14,16,35,4.2273373767938995,Fusión
11,13,16,18,30,4.224933257055683,Fusión
5,16,18,30,35,4.224539307205211,Fusión
6,13,16,18,31,4.223794540699576,Fusión
1,5,13,16,35,4.222517388597952,Fusión
12,13,16,18,31,4.219809033453198,Fusión
11,13,18,30,35,4.218722076931459,Fusión
6,13,18,31,35,4.217583360575352,Fusión
13,16,18,28,31,4.216321714612619,Fusión
5,13,16,30,31,4.2155480791350355,Fusión
12,13,18,31,35,4.213597853328975,Fusión
6,13,16,30,35,4.211723602484472,Fusión
13,18,28,31,35,4.210110534488395,Fusión
5,13,30,31,35,4.209336899010812,Fusión
5,11,13,16,18,4.209192516314942,Fusión
11,13,14,16,35,4.207933189998408,Fusión
12,13,16,30,35,4.207738095238096,Fusión
11,16,18,30,35,4.20513512040972,Fusión
13,16,28,30,35,4.204250776397515,Fusión
6,16,18,31,35,4.203996404053612,Fusión
1,11,13,16,35,4.20311320180246,Fusión
5,11,13,18,35,4.202981336190718,Fusión
