N1,N2,N3,N4,N5,Peso,MetodoCalculo
4,6,18,22,39,5.0,Mediana
4,5,6,18,39,4.888888888888889,Mediana
5,6,18,22,39,4.888888888888889,Mediana
6,18,22,33,39,4.888888888888889,Mediana
4,18,22,33,39,4.888888888888889,Mediana
4,5,6,18,22,4.888888888888889,Mediana
4,6,22,33,39,4.888888888888889,Mediana
4,5,6,22,39,4.888888888888889,Mediana
4,6,18,33,39,4.888888888888889,Mediana
4,5,18,22,39,4.888888888888889,Mediana
4,6,18,22,33,4.888888888888889,Mediana
6,18,22,23,39,4.875,Mediana
4,18,22,23,39,4.875,Mediana
4,6,16,18,39,4.875,Mediana
4,16,18,22,39,4.875,Mediana
4,6,18,22,23,4.875,Mediana
4,6,18,22,31,4.875,Mediana
4,6,22,31,39,4.875,Mediana
6,18,22,31,39,4.875,Mediana
4,18,22,31,39,4.875,Mediana
6,16,18,22,39,4.875,Mediana
4,6,16,18,22,4.875,Mediana
4,6,22,23,39,4.875,Mediana
4,6,16,22,39,4.875,Mediana
4,6,18,31,39,4.875,Mediana
4,6,18,23,39,4.875,Mediana
4,6,22,26,39,4.857142857142857,Mediana
4,18,22,26,39,4.857142857142857,Mediana
4,6,18,22,26,4.857142857142857,Mediana
6,18,22,26,39,4.857142857142857,Mediana
4,6,18,26,39,4.857142857142857,Mediana
4,18,22,36,39,4.818181818181818,Mediana
4,6,18,22,36,4.818181818181818,Mediana
4,6,22,36,39,4.818181818181818,Mediana
6,18,22,36,39,4.818181818181818,Mediana
4,6,18,36,39,4.818181818181818,Mediana
6,18,21,22,39,4.8,Mediana
4,6,21,22,39,4.8,Mediana
4,18,21,22,39,4.8,Mediana
4,6,18,21,22,4.8,Mediana
4,6,18,21,39,4.8,Mediana
4,5,6,22,33,4.777777777777778,Mediana
4,5,6,33,39,4.777777777777778,Mediana
4,5,18,33,39,4.777777777777778,Mediana
5,6,18,22,33,4.777777777777778,Mediana
5,6,22,33,39,4.777777777777778,Mediana
5,18,22,33,39,4.777777777777778,Mediana
4,5,22,33,39,4.777777777777778,Mediana
5,6,18,33,39,4.777777777777778,Mediana
4,5,18,22,33,4.777777777777778,Mediana
4,5,6,18,33,4.777777777777778,Mediana
4,18,31,33,39,4.763888888888889,Mediana
5,6,16,18,39,4.763888888888889,Mediana
6,22,31,33,39,4.763888888888889,Mediana
4,22,31,33,39,4.763888888888889,Mediana
4,5,16,18,39,4.763888888888889,Mediana
4,5,18,23,39,4.763888888888889,Mediana
4,6,31,33,39,4.763888888888889,Mediana
6,18,22,23,33,4.763888888888889,Mediana
6,16,18,22,33,4.763888888888889,Mediana
4,5,18,31,39,4.763888888888889,Mediana
5,6,18,23,39,4.763888888888889,Mediana
5,6,18,31,39,4.763888888888889,Mediana
4,22,23,33,39,4.763888888888889,Mediana
4,16,18,33,39,4.763888888888889,Mediana
4,6,18,23,33,4.763888888888889,Mediana
4,5,22,23,39,4.763888888888889,Mediana
18,22,23,33,39,4.763888888888889,Mediana
4,16,22,33,39,4.763888888888889,Mediana
18,22,31,33,39,4.763888888888889,Mediana
4,6,16,18,33,4.763888888888889,Mediana
4,5,16,18,22,4.763888888888889,Mediana
4,5,18,22,23,4.763888888888889,Mediana
4,5,18,22,31,4.763888888888889,Mediana
4,16,18,22,33,4.763888888888889,Mediana
4,18,22,23,33,4.763888888888889,Mediana
4,18,22,31,33,4.763888888888889,Mediana
6,18,22,31,33,4.763888888888889,Mediana
4,5,16,22,39,4.763888888888889,Mediana
4,5,22,31,39,4.763888888888889,Mediana
5,16,18,22,39,4.763888888888889,Mediana
5,18,22,23,39,4.763888888888889,Mediana
5,18,22,31,39,4.763888888888889,Mediana
16,18,22,33,39,4.763888888888889,Mediana
4,6,16,33,39,4.763888888888889,Mediana
4,6,23,33,39,4.763888888888889,Mediana
4,18,23,33,39,4.763888888888889,Mediana
4,6,18,31,33,4.763888888888889,Mediana
4,5,6,22,31,4.763888888888889,Mediana
5,6,16,18,22,4.763888888888889,Mediana
6,18,23,33,39,4.763888888888889,Mediana
6,22,23,33,39,4.763888888888889,Mediana
4,5,6,16,22,4.763888888888889,Mediana
4,5,6,22,23,4.763888888888889,Mediana
6,16,22,33,39,4.763888888888889,Mediana
6,18,31,33,39,4.763888888888889,Mediana
5,6,18,22,31,4.763888888888889,Mediana
4,6,16,22,33,4.763888888888889,Mediana
5,6,22,31,39,4.763888888888889,Mediana
4,6,22,23,33,4.763888888888889,Mediana
4,6,22,31,33,4.763888888888889,Mediana
5,6,22,23,39,4.763888888888889,Mediana
5,6,16,22,39,4.763888888888889,Mediana
5,6,18,22,23,4.763888888888889,Mediana
6,16,18,33,39,4.763888888888889,Mediana
4,5,6,18,31,4.763888888888889,Mediana
4,5,6,16,18,4.763888888888889,Mediana
4,5,6,31,39,4.763888888888889,Mediana
4,5,6,16,39,4.763888888888889,Mediana
4,5,6,23,39,4.763888888888889,Mediana
4,5,6,18,23,4.763888888888889,Mediana
6,16,22,31,39,4.75,Mediana
4,6,16,18,23,4.75,Mediana
4,16,18,22,31,4.75,Mediana
4,16,18,22,23,4.75,Mediana
6,16,18,22,31,4.75,Mediana
6,16,22,23,39,4.75,Mediana
6,16,18,31,39,4.75,Mediana
4,6,18,23,31,4.75,Mediana
6,18,23,31,39,4.75,Mediana
6,16,18,22,23,4.75,Mediana
6,22,23,31,39,4.75,Mediana
6,18,22,23,31,4.75,Mediana
4,6,16,18,31,4.75,Mediana
6,16,18,23,39,4.75,Mediana
16,18,22,31,39,4.75,Mediana
16,18,22,23,39,4.75,Mediana
4,18,22,23,31,4.75,Mediana
4,16,22,23,39,4.75,Mediana
4,6,16,22,23,4.75,Mediana
4,16,22,31,39,4.75,Mediana
4,18,23,31,39,4.75,Mediana
4,6,22,23,31,4.75,Mediana
4,16,18,23,39,4.75,Mediana
4,6,23,31,39,4.75,Mediana
4,6,16,22,31,4.75,Mediana
4,16,18,31,39,4.75,Mediana
18,22,23,31,39,4.75,Mediana
4,6,16,31,39,4.75,Mediana
4,6,16,23,39,4.75,Mediana
4,22,23,31,39,4.75,Mediana
4,6,26,33,39,4.746031746031746,Mediana
4,5,18,22,26,4.746031746031746,Mediana
5,6,18,22,26,4.746031746031746,Mediana
4,18,26,33,39,4.746031746031746,Mediana
4,5,18,26,39,4.746031746031746,Mediana
4,18,22,26,33,4.746031746031746,Mediana
6,22,26,33,39,4.746031746031746,Mediana
6,18,22,26,33,4.746031746031746,Mediana
6,18,26,33,39,4.746031746031746,Mediana
4,22,26,33,39,4.746031746031746,Mediana
4,5,22,26,39,4.746031746031746,Mediana
4,5,6,22,26,4.746031746031746,Mediana
4,5,6,18,26,4.746031746031746,Mediana
5,6,22,26,39,4.746031746031746,Mediana
5,18,22,26,39,4.746031746031746,Mediana
4,6,22,26,33,4.746031746031746,Mediana
4,5,6,26,39,4.746031746031746,Mediana
18,22,26,33,39,4.746031746031746,Mediana
4,6,18,26,33,4.746031746031746,Mediana
5,6,18,26,39,4.746031746031746,Mediana
6,16,18,26,39,4.732142857142857,Mediana
6,18,26,31,39,4.732142857142857,Mediana
4,18,22,23,26,4.732142857142857,Mediana
4,16,18,26,39,4.732142857142857,Mediana
6,18,22,23,26,4.732142857142857,Mediana
4,18,26,31,39,4.732142857142857,Mediana
4,18,22,26,31,4.732142857142857,Mediana
6,18,22,26,31,4.732142857142857,Mediana
4,16,18,22,26,4.732142857142857,Mediana
4,18,23,26,39,4.732142857142857,Mediana
6,18,23,26,39,4.732142857142857,Mediana
4,6,26,31,39,4.732142857142857,Mediana
18,22,26,31,39,4.732142857142857,Mediana
4,16,22,26,39,4.732142857142857,Mediana
18,22,23,26,39,4.732142857142857,Mediana
4,6,16,18,26,4.732142857142857,Mediana
16,18,22,26,39,4.732142857142857,Mediana
4,22,23,26,39,4.732142857142857,Mediana
4,6,18,23,26,4.732142857142857,Mediana
4,6,22,23,26,4.732142857142857,Mediana
4,22,26,31,39,4.732142857142857,Mediana
4,6,22,26,31,4.732142857142857,Mediana
4,6,16,22,26,4.732142857142857,Mediana
4,6,23,26,39,4.732142857142857,Mediana
6,22,26,31,39,4.732142857142857,Mediana
4,6,18,26,31,4.732142857142857,Mediana
4,6,16,26,39,4.732142857142857,Mediana
6,22,23,26,39,4.732142857142857,Mediana
6,16,22,26,39,4.732142857142857,Mediana
6,16,18,22,26,4.732142857142857,Mediana
4,18,33,36,39,4.707070707070707,Mediana
4,5,18,36,39,4.707070707070707,Mediana
4,5,6,36,39,4.707070707070707,Mediana
5,6,18,36,39,4.707070707070707,Mediana
5,6,22,36,39,4.707070707070707,Mediana
4,6,33,36,39,4.707070707070707,Mediana
4,22,33,36,39,4.707070707070707,Mediana
4,6,18,33,36,4.707070707070707,Mediana
4,5,6,22,36,4.707070707070707,Mediana
4,5,6,18,36,4.707070707070707,Mediana
4,5,22,36,39,4.707070707070707,Mediana
6,22,33,36,39,4.707070707070707,Mediana
4,5,18,22,36,4.707070707070707,Mediana
4,18,22,33,36,4.707070707070707,Mediana
6,18,22,33,36,4.707070707070707,Mediana
4,6,22,33,36,4.707070707070707,Mediana
5,18,22,36,39,4.707070707070707,Mediana
18,22,33,36,39,4.707070707070707,Mediana
6,18,33,36,39,4.707070707070707,Mediana
5,6,18,22,36,4.707070707070707,Mediana
4,6,22,23,36,4.693181818181818,Mediana
4,6,18,23,36,4.693181818181818,Mediana
4,6,16,18,36,4.693181818181818,Mediana
4,6,22,31,36,4.693181818181818,Mediana
6,18,31,36,39,4.693181818181818,Mediana
4,18,31,36,39,4.693181818181818,Mediana
6,16,18,36,39,4.693181818181818,Mediana
4,18,23,36,39,4.693181818181818,Mediana
6,18,23,36,39,4.693181818181818,Mediana
4,6,16,22,36,4.693181818181818,Mediana
4,6,31,36,39,4.693181818181818,Mediana
6,18,22,31,36,4.693181818181818,Mediana
18,22,23,36,39,4.693181818181818,Mediana
6,16,22,36,39,4.693181818181818,Mediana
6,22,23,36,39,4.693181818181818,Mediana
6,22,31,36,39,4.693181818181818,Mediana
4,16,18,22,36,4.693181818181818,Mediana
6,18,22,23,36,4.693181818181818,Mediana
4,18,22,23,36,4.693181818181818,Mediana
16,18,22,36,39,4.693181818181818,Mediana
4,18,22,31,36,4.693181818181818,Mediana
4,16,18,36,39,4.693181818181818,Mediana
4,6,18,31,36,4.693181818181818,Mediana
18,22,31,36,39,4.693181818181818,Mediana
4,16,22,36,39,4.693181818181818,Mediana
4,22,23,36,39,4.693181818181818,Mediana
4,22,31,36,39,4.693181818181818,Mediana
6,16,18,22,36,4.693181818181818,Mediana
4,6,23,36,39,4.693181818181818,Mediana
4,6,16,36,39,4.693181818181818,Mediana
4,21,22,33,39,4.688888888888889,Mediana
4,5,6,18,21,4.688888888888889,Mediana
6,18,21,33,39,4.688888888888889,Mediana
4,5,21,22,39,4.688888888888889,Mediana
6,18,21,22,33,4.688888888888889,Mediana
5,6,18,21,39,4.688888888888889,Mediana
5,6,18,21,22,4.688888888888889,Mediana
4,18,21,22,33,4.688888888888889,Mediana
5,18,21,22,39,4.688888888888889,Mediana
5,6,21,22,39,4.688888888888889,Mediana
6,21,22,33,39,4.688888888888889,Mediana
4,6,18,21,33,4.688888888888889,Mediana
4,5,18,21,22,4.688888888888889,Mediana
4,5,6,21,39,4.688888888888889,Mediana
4,5,18,21,39,4.688888888888889,Mediana
4,18,21,33,39,4.688888888888889,Mediana
4,6,21,33,39,4.688888888888889,Mediana
18,21,22,33,39,4.688888888888889,Mediana
4,6,21,22,33,4.688888888888889,Mediana
4,5,6,21,22,4.688888888888889,Mediana
6,18,22,26,36,4.675324675324675,Mediana
4,6,26,36,39,4.675324675324675,Mediana
4,18,26,36,39,4.675324675324675,Mediana
4,22,26,36,39,4.675324675324675,Mediana
4,6,18,26,36,4.675324675324675,Mediana
18,22,26,36,39,4.675324675324675,Mediana
6,18,26,36,39,4.675324675324675,Mediana
4,18,22,26,36,4.675324675324675,Mediana
4,6,22,26,36,4.675324675324675,Mediana
6,22,26,36,39,4.675324675324675,Mediana
4,21,22,23,39,4.675,Mediana
18,21,22,23,39,4.675,Mediana
4,16,21,22,39,4.675,Mediana
16,18,21,22,39,4.675,Mediana
18,21,22,31,39,4.675,Mediana
4,6,16,21,22,4.675,Mediana
4,6,18,21,23,4.675,Mediana
4,6,21,31,39,4.675,Mediana
4,6,21,23,39,4.675,Mediana
4,6,16,21,39,4.675,Mediana
6,18,21,23,39,4.675,Mediana
4,6,16,18,21,4.675,Mediana
4,6,21,22,31,4.675,Mediana
4,6,21,22,23,4.675,Mediana
4,21,22,31,39,4.675,Mediana
6,16,18,21,39,4.675,Mediana
6,18,21,22,23,4.675,Mediana
4,18,21,23,39,4.675,Mediana
6,16,18,21,22,4.675,Mediana
4,6,18,21,31,4.675,Mediana
4,16,18,21,22,4.675,Mediana
4,16,18,21,39,4.675,Mediana
4,18,21,22,23,4.675,Mediana
6,16,21,22,39,4.675,Mediana
6,21,22,23,39,4.675,Mediana
6,21,22,31,39,4.675,Mediana
4,18,21,22,31,4.675,Mediana
6,18,21,22,31,4.675,Mediana
6,18,21,31,39,4.675,Mediana
4,18,21,31,39,4.675,Mediana
4,21,22,26,39,4.6571428571428575,Mediana
6,18,21,22,26,4.6571428571428575,Mediana
4,6,21,26,39,4.6571428571428575,Mediana
4,18,21,22,26,4.6571428571428575,Mediana
4,18,21,26,39,4.6571428571428575,Mediana
4,6,21,22,26,4.6571428571428575,Mediana
6,18,21,26,39,4.6571428571428575,Mediana
18,21,22,26,39,4.6571428571428575,Mediana
6,21,22,26,39,4.6571428571428575,Mediana
4,6,18,21,26,4.6571428571428575,Mediana
5,6,18,23,33,4.652777777777778,Mediana
