IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados
177,"{6, 12, 16, 24, 29}","{32, 34, 3, 4, 6, 39, 8, 10, 16, 17, 22, 23, 24, 27, 29, 30, 31}",4,"[16, 24, 29, 6]"
178,"{3, 39, 12, 21, 25}","{32, 34, 3, 4, 5, 39, 8, 7, 10, 17, 22, 23, 27, 30, 31}",2,"[3, 39]"
179,"{1, 35, 37, 17, 18}","{32, 4, 5, 38, 7, 36, 9, 10, 13, 17, 20, 22, 23, 27, 30, 31}",1,[17]
180,"{36, 5, 17, 25, 30}","{2, 4, 5, 6, 7, 9, 10, 13, 19, 20, 22, 23, 27, 28, 30, 31, 32, 36, 38}",3,"[36, 5, 30]"
181,"{4, 5, 9, 18, 19}","{32, 2, 4, 38, 7, 6, 9, 10, 13, 19, 20, 21, 22, 23, 27, 28, 31}",3,"[9, 19, 4]"
182,"{1, 36, 5, 13, 16}","{32, 2, 3, 38, 7, 6, 10, 12, 13, 14, 16, 20, 21, 22, 24, 28, 31}",2,"[16, 13]"
183,"{34, 37, 39, 24, 25}","{32, 2, 3, 38, 7, 6, 39, 10, 12, 14, 20, 21, 22, 24, 28, 31}",2,"[24, 39]"
184,"{1, 35, 7, 14, 21}","{32, 2, 3, 35, 38, 6, 7, 10, 12, 14, 17, 20, 21, 22, 28, 29, 31}",4,"[35, 21, 14, 7]"
185,"{33, 34, 19, 23, 24}","{32, 2, 3, 6, 38, 12, 17, 20, 22, 28, 29, 30, 31}",0,[]
186,"{2, 18, 24, 26, 30}","{32, 2, 3, 6, 38, 12, 17, 20, 22, 28, 29, 30}",2,"[2, 30]"
187,"{3, 5, 17, 24, 26}","{3, 5, 6, 38, 9, 12, 16, 17, 20, 21, 22, 25, 28, 29}",3,"[17, 3, 5]"
188,"{33, 36, 13, 15, 24}","{4, 37, 6, 39, 36, 9, 7, 12, 13, 16, 20, 21, 25, 28, 29}",2,"[36, 13]"
189,"{35, 11, 17, 23, 27}","{1, 34, 35, 4, 37, 39, 7, 9, 12, 16, 21, 25, 28, 29}",1,[35]
190,(),"{1, 34, 4, 37, 39, 7, 9, 12, 14, 16, 19, 21, 25, 29}",0,[]
