N1,N2,N3,N4,N5,Peso,MetodoCalculo
11,14,15,16,35,4.171415343915344,Fusión
12,14,15,16,35,4.154880952380952,Fusión
14,15,16,21,35,4.150952380952381,Fusión
5,14,15,16,35,4.1501190476190475,Fusión
11,12,14,16,35,4.132724867724868,Fusión
11,14,16,21,35,4.128796296296296,Fusión
5,11,14,16,35,4.127962962962963,Fusión
14,15,16,24,35,4.125119047619048,Fusión
12,14,16,21,35,4.112261904761905,Fusión
11,12,14,15,35,4.112010582010582,Fusión
5,12,14,16,35,4.111428571428571,Fusión
11,14,15,21,35,4.10808201058201,Fusión
5,14,16,21,35,4.1075,Fusión
5,11,14,15,35,4.107248677248677,Fusión
11,14,16,24,35,4.102962962962963,Fusión
12,14,15,21,35,4.091547619047619,Fusión
5,12,14,15,35,4.090714285714285,Fusión
14,15,16,28,35,4.0876190476190475,Fusión
5,14,15,21,35,4.086785714285714,Fusión
12,14,16,24,35,4.086428571428572,Fusión
14,16,21,24,35,4.0825000000000005,Fusión
11,14,15,24,35,4.0822486772486775,Fusión
5,14,16,24,35,4.081666666666667,Fusión
14,15,16,27,35,4.076507936507936,Fusión
1,14,15,16,35,4.070555555555556,Fusión
11,12,14,21,35,4.069391534391534,Fusión
5,11,12,14,35,4.068558201058201,Fusión
12,14,15,24,35,4.065714285714286,Fusión
11,14,16,28,35,4.065462962962963,Fusión
5,11,14,21,35,4.064629629629629,Fusión
14,15,21,24,35,4.0617857142857146,Fusión
5,14,15,24,35,4.060952380952381,Fusión
11,12,14,15,16,4.055343915343915,Fusión
11,14,16,27,35,4.054351851851852,Fusión
11,14,15,16,21,4.051415343915344,Fusión
5,11,14,15,16,4.05058201058201,Fusión
12,14,16,28,35,4.048928571428571,Fusión
1,11,14,16,35,4.048399470899471,Fusión
5,12,14,21,35,4.048095238095238,Fusión
14,16,21,28,35,4.045,Fusión
11,14,15,28,35,4.044748677248677,Fusión
5,14,16,28,35,4.0441666666666665,Fusión
11,12,14,24,35,4.043558201058201,Fusión
11,14,21,24,35,4.03962962962963,Fusión
5,11,14,24,35,4.038796296296296,Fusión
12,14,16,27,35,4.03781746031746,Fusión
12,14,15,16,21,4.034880952380952,Fusión
5,12,14,15,16,4.034047619047619,Fusión
14,16,21,27,35,4.033888888888889,Fusión
11,14,15,27,35,4.033637566137566,Fusión
5,14,16,27,35,4.033055555555555,Fusión
1,12,14,16,35,4.03186507936508,Fusión
5,14,15,16,21,4.030119047619047,Fusión
12,14,15,28,35,4.028214285714285,Fusión
1,14,16,21,35,4.027936507936508,Fusión
1,11,14,15,35,4.027685185185185,Fusión
1,5,14,16,35,4.027103174603175,Fusión
11,14,15,16,24,4.025582010582011,Fusión
11,12,15,16,35,4.025343915343915,Fusión
14,15,21,28,35,4.024285714285714,Fusión
5,14,15,28,35,4.023452380952381,Fusión
12,14,21,24,35,4.023095238095238,Fusión
5,12,14,24,35,4.022261904761905,Fusión
11,15,16,21,35,4.0214153439153435,Fusión
5,11,15,16,35,4.02058201058201,Fusión
14,16,24,28,35,4.019166666666667,Fusión
5,14,21,24,35,4.0183333333333335,Fusión
12,14,15,27,35,4.017103174603174,Fusión
14,15,21,27,35,4.013174603174603,Fusión
11,12,14,16,21,4.0127248677248675,Fusión
5,14,15,27,35,4.0123412698412695,Fusión
5,11,12,14,16,4.011891534391534,Fusión
1,12,14,15,35,4.011150793650794,Fusión
12,14,15,16,24,4.009047619047619,Fusión
14,16,24,27,35,4.008055555555556,Fusión
5,11,14,16,21,4.007962962962963,Fusión
1,14,15,21,35,4.0072222222222225,Fusión
1,5,14,15,35,4.006388888888889,Fusión
11,12,14,28,35,4.006058201058201,Fusión
14,15,16,21,24,4.005119047619048,Fusión
12,15,16,21,35,4.004880952380952,Fusión
5,14,15,16,24,4.0042857142857144,Fusión
5,12,15,16,35,4.004047619047618,Fusión
11,14,21,28,35,4.002129629629629,Fusión
1,14,16,24,35,4.002103174603175,Fusión
5,11,14,28,35,4.001296296296296,Fusión
5,15,16,21,35,4.000119047619047,Fusión
14,15,24,28,35,3.998452380952381,Fusión
11,15,16,24,35,3.9955820105820106,Fusión
11,12,14,27,35,3.9949470899470896,Fusión
11,12,14,15,21,3.9920105820105816,Fusión
5,12,14,16,21,3.991428571428571,Fusión
5,11,12,14,15,3.991177248677248,Fusión
11,14,21,27,35,3.9910185185185183,Fusión
5,11,14,27,35,3.990185185185185,Fusión
1,11,12,14,35,3.988994708994709,Fusión
11,14,15,16,28,3.9880820105820103,Fusión
14,15,24,27,35,3.98734126984127,Fusión
5,11,14,15,21,3.987248677248677,Fusión
11,12,14,16,24,3.9868915343915345,Fusión
12,14,21,28,35,3.9855952380952377,Fusión
1,11,14,21,35,3.985066137566138,Fusión
5,12,14,28,35,3.9847619047619043,Fusión
1,5,11,14,35,3.9842328042328043,Fusión
11,14,16,21,24,3.9829629629629633,Fusión
11,12,16,21,35,3.9827248677248672,Fusión
5,11,14,16,24,3.98212962962963,Fusión
5,11,12,16,35,3.9818915343915338,Fusión
1,14,15,24,35,3.9813888888888895,Fusión
5,14,21,28,35,3.980833333333333,Fusión
12,15,16,24,35,3.979047619047619,Fusión
5,11,16,21,35,3.9779629629629625,Fusión
11,14,15,16,27,3.976970899470899,Fusión
11,14,24,28,35,3.9762962962962964,Fusión
15,16,21,24,35,3.9751190476190477,Fusión
12,14,21,27,35,3.9744841269841267,Fusión
5,15,16,24,35,3.974285714285714,Fusión
5,12,14,27,35,3.973650793650793,Fusión
12,14,15,16,28,3.9715476190476187,Fusión
1,11,14,15,16,3.9710185185185187,Fusión
5,12,14,15,21,3.970714285714285,Fusión
14,16,27,28,35,3.9705555555555554,Fusión
5,14,21,27,35,3.969722222222222,Fusión
1,12,14,21,35,3.968531746031746,Fusión
1,5,12,14,35,3.9676984126984127,Fusión
14,15,16,21,28,3.9676190476190474,Fusión
5,14,15,16,28,3.966785714285714,Fusión
12,14,16,21,24,3.9664285714285716,Fusión
11,12,14,15,24,3.9661772486772486,Fusión
5,12,14,16,24,3.965595238095238,Fusión
11,14,24,27,35,3.9651851851851854,Fusión
1,14,16,28,35,3.964603174603175,Fusión
1,5,14,21,35,3.9637698412698414,Fusión
11,14,15,21,24,3.9622486772486774,Fusión
11,12,15,21,35,3.962010582010582,Fusión
5,14,16,21,24,3.961666666666667,Fusión
5,12,16,21,35,3.961428571428571,Fusión
5,11,14,15,24,3.961415343915344,Fusión
5,11,12,15,35,3.9611772486772487,Fusión
12,14,15,16,27,3.9604365079365076,Fusión
12,14,24,28,35,3.959761904761905,Fusión
1,11,14,24,35,3.959232804232805,Fusión
11,15,16,28,35,3.95808201058201,Fusión
5,11,15,21,35,3.9572486772486775,Fusión
11,12,16,24,35,3.9568915343915343,Fusión
14,15,16,21,27,3.9565079365079363,Fusión
14,21,24,28,35,3.9558333333333335,Fusión
5,14,15,16,27,3.955674603174603,Fusión
5,14,24,28,35,3.955,Fusión
1,12,14,15,16,3.954484126984127,Fusión
1,14,16,27,35,3.953492063492064,Fusión
11,16,21,24,35,3.952962962962963,Fusión
5,11,16,24,35,3.9521296296296295,Fusión
1,14,15,16,21,3.950555555555556,Fusión
14,15,27,28,35,3.9498412698412695,Fusión
1,5,14,15,16,3.9497222222222224,Fusión
11,12,14,16,28,3.949391534391534,Fusión
12,14,24,27,35,3.9486507936507937,Fusión
5,11,12,14,21,3.9485582010582005,Fusión
11,15,16,27,35,3.946970899470899,Fusión
12,14,15,21,24,3.9457142857142857,Fusión
11,14,16,21,28,3.9454629629629627,Fusión
5,12,14,15,24,3.9448809523809523,Fusión
14,21,24,27,35,3.9447222222222225,Fusión
5,11,14,16,28,3.9446296296296293,Fusión
1,14,15,28,35,3.943888888888889,Fusión
5,14,24,27,35,3.943888888888889,Fusión
1,12,14,24,35,3.9426984126984133,Fusión
14,15,16,24,28,3.9417857142857144,Fusión
12,15,16,28,35,3.9415476190476184,Fusión
1,11,15,16,35,3.9410185185185185,Fusión
5,14,15,21,24,3.940952380952381,Fusión
5,12,15,21,35,3.940714285714286,Fusión
1,14,21,24,35,3.938769841269842,Fusión
11,12,14,16,27,3.938280423280423,Fusión
1,5,14,24,35,3.9379365079365085,Fusión
15,16,21,28,35,3.937619047619047,Fusión
5,15,16,28,35,3.9367857142857137,Fusión
12,16,21,24,35,3.9364285714285714,Fusión
11,12,15,24,35,3.9361772486772493,Fusión
5,12,16,24,35,3.935595238095238,Fusión
11,14,16,21,27,3.9343518518518517,Fusión
5,11,14,16,27,3.933518518518518,Fusión
1,14,15,27,35,3.932777777777778,Fusión
1,11,12,14,16,3.9323280423280425,Fusión
11,15,21,24,35,3.932248677248677,Fusión
5,16,21,24,35,3.9316666666666666,Fusión
5,11,15,24,35,3.9314153439153445,Fusión
14,15,16,24,27,3.9306746031746034,Fusión
12,15,16,27,35,3.9304365079365073,Fusión
12,14,16,21,28,3.928928571428571,Fusión
11,12,14,15,28,3.928677248677248,Fusión
1,11,14,16,21,3.928399470899471,Fusión
5,12,14,16,28,3.9280952380952376,Fusión
11,14,27,28,35,3.927685185185185,Fusión
1,5,11,14,16,3.9275661375661377,Fusión
15,16,21,27,35,3.926507936507936,Fusión
5,15,16,27,35,3.9256746031746026,Fusión
11,14,15,21,28,3.924748677248677,Fusión
1,14,15,16,24,3.924722222222223,Fusión
1,12,15,16,35,3.924484126984127,Fusión
5,14,16,21,28,3.9241666666666664,Fusión
5,11,14,15,28,3.9239153439153434,Fusión
11,12,14,21,24,3.923558201058201,Fusión
5,11,12,14,24,3.9227248677248676,Fusión
1,11,14,28,35,3.9217328042328043,Fusión
1,15,16,21,35,3.9205555555555556,Fusión
1,5,15,16,35,3.919722222222222,Fusión
11,14,16,24,28,3.91962962962963,Fusión
11,12,16,28,35,3.9193915343915338,Fusión
5,11,14,21,24,3.9187962962962963,Fusión
5,11,12,21,35,3.918558201058201,Fusión
12,14,16,21,27,3.91781746031746,Fusión
11,12,14,15,27,3.917566137566137,Fusión
5,12,14,16,27,3.9169841269841266,Fusión
12,15,21,24,35,3.9157142857142855,Fusión
11,16,21,28,35,3.9154629629629625,Fusión
