N1,N2,N3,N4,N5,Peso,MetodoCalculo
2,13,14,15,26,4.541753440506637,Fusión
2,5,13,14,26,4.527187614176105,Fusión
2,7,13,14,26,4.519204420898794,Fusión
2,5,13,15,26,4.503221288515406,Fusión
5,13,14,15,26,4.500576969918402,Fusión
2,5,14,15,26,4.49679545731336,Fusión
2,7,13,15,26,4.495238095238095,Fusión
7,13,14,15,26,4.492593776641091,Fusión
2,7,14,15,26,4.488812264036049,Fusión
2,5,7,13,26,4.480672268907563,Fusión
5,7,13,14,26,4.478027950310559,Fusión
2,13,14,26,39,4.475086773839971,Fusión
2,5,7,14,26,4.474246437705517,Fusión
2,13,14,16,26,4.46038089148703,Fusión
5,7,13,15,26,4.45406162464986,Fusión
2,13,15,26,39,4.451120448179272,Fusión
2,5,7,15,26,4.450280112044818,Fusión
13,14,15,26,39,4.448476129582268,Fusión
5,7,14,15,26,4.447635793447814,Fusión
2,14,15,26,39,4.444694616977226,Fusión
2,5,13,14,15,4.443854280842771,Fusión
2,5,13,26,39,4.43655462184874,Fusión
2,13,15,16,26,4.436414565826331,Fusión
2,7,13,14,15,4.435871087565461,Fusión
5,13,14,26,39,4.433910303251736,Fusión
13,14,15,16,26,4.433770247229327,Fusión
2,5,14,26,39,4.430128790646694,Fusión
2,14,15,16,26,4.429988734624285,Fusión
2,7,13,26,39,4.428571428571429,Fusión
7,13,14,26,39,4.425927109974425,Fusión
2,7,14,26,39,4.422145597369383,Fusión
2,5,13,16,26,4.421848739495799,Fusión
2,5,7,13,14,4.421305261234929,Fusión
2,13,14,18,26,4.4202314983964595,Fusión
5,13,14,16,26,4.419204420898795,Fusión
2,5,14,16,26,4.415422908293753,Fusión
2,7,13,16,26,4.413865546218488,Fusión
7,13,14,16,26,4.411221227621484,Fusión
5,13,15,26,39,4.409943977591037,Fusión
2,7,14,16,26,4.407439715016442,Fusión
2,5,15,26,39,4.406162464985995,Fusión
5,14,15,26,39,4.403518146388991,Fusión
7,13,15,26,39,4.401960784313726,Fusión
2,7,15,26,39,4.398179271708684,Fusión
2,5,7,13,15,4.397338935574229,Fusión
2,13,15,18,26,4.396265172735761,Fusión
7,14,15,26,39,4.39553495311168,Fusión
5,13,15,16,26,4.395238095238096,Fusión
5,7,13,14,15,4.394694616977226,Fusión
13,14,15,18,26,4.3936208541387565,Fusión
2,13,14,15,39,4.391753440506637,Fusión
2,5,15,16,26,4.391456582633054,Fusión
2,5,7,14,15,4.390913104372183,Fusión
2,14,15,18,26,4.389839341533715,Fusión
5,14,15,16,26,4.38881226403605,Fusión
5,7,13,26,39,4.387394957983194,Fusión
7,13,15,16,26,4.387254901960785,Fusión
2,6,13,14,26,4.386851479722323,Fusión
2,8,13,14,26,4.383910303251735,Fusión
2,5,7,26,39,4.383613445378152,Fusión
2,7,15,16,26,4.383473389355743,Fusión
2,5,13,18,26,4.381699346405229,Fusión
5,7,14,26,39,4.380969126781148,Fusión
7,14,15,16,26,4.380829070758739,Fusión
5,13,14,18,26,4.379055027808224,Fusión
2,5,13,14,39,4.377187614176105,Fusión
2,13,14,15,16,4.377047558153696,Fusión
2,5,14,18,26,4.375273515203183,Fusión
2,7,13,18,26,4.373716153127917,Fusión
5,7,13,16,26,4.3726890756302526,Fusión
7,13,14,18,26,4.371071834530914,Fusión
2,13,16,26,39,4.369747899159663,Fusión
2,7,13,14,39,4.369204420898794,Fusión
2,5,7,16,26,4.3689075630252105,Fusión
2,7,14,18,26,4.367290321925871,Fusión
13,14,16,26,39,4.3671035805626595,Fusión
5,7,14,16,26,4.366263244428207,Fusión
2,14,16,26,39,4.3633220679576175,Fusión
2,6,13,15,26,4.362885154061624,Fusión
2,5,13,14,16,4.362481731823164,Fusión
6,13,14,15,26,4.36024083546462,Fusión
2,8,13,15,26,4.359943977591036,Fusión
8,13,14,15,26,4.357299658994032,Fusión
5,7,15,26,39,4.357002801120449,Fusión
2,6,14,15,26,4.356459322859578,Fusión
5,13,15,18,26,4.355088702147526,Fusión
2,7,13,14,16,4.354498538545853,Fusión
2,8,14,15,26,4.35351814638899,Fusión
2,5,13,15,39,4.353221288515406,Fusión
2,5,15,18,26,4.351307189542483,Fusión
5,13,14,15,39,4.350576969918402,Fusión
5,14,15,18,26,4.34866287094548,Fusión
2,5,6,13,26,4.348319327731092,Fusión
7,13,15,18,26,4.347105508870214,Fusión
2,5,14,15,39,4.34679545731336,Fusión
5,6,13,14,26,4.345675009134088,Fusión
2,5,8,13,26,4.345378151260504,Fusión
2,7,13,15,39,4.345238095238095,Fusión
2,7,15,18,26,4.343323996265173,Fusión
13,15,16,26,39,4.3431372549019605,Fusión
5,8,13,14,26,4.3427338326635,Fusión
7,13,14,15,39,4.342593776641091,Fusión
5,7,15,16,26,4.342296918767508,Fusión
2,5,6,14,26,4.341893496529046,Fusión
7,14,15,18,26,4.340679677668168,Fusión
2,6,7,13,26,4.340336134453781,Fusión
2,15,16,26,39,4.3393557422969185,Fusión
2,5,8,14,26,4.338952320058458,Fusión
2,7,14,15,39,4.338812264036049,Fusión
2,5,13,15,16,4.338515406162465,Fusión
6,7,13,14,26,4.337691815856777,Fusión
2,7,8,13,26,4.337394957983193,Fusión
2,13,14,15,18,4.336898165063126,Fusión
14,15,16,26,39,4.3367114236999145,Fusión
5,13,14,15,16,4.335871087565461,Fusión
7,8,13,14,26,4.334750639386189,Fusión
2,6,7,14,26,4.333910303251735,Fusión
5,7,13,18,26,4.332539682539682,Fusión
2,5,14,15,16,4.332089574960419,Fusión
2,7,8,14,26,4.330969126781147,Fusión
2,5,7,13,39,4.330672268907563,Fusión
2,7,13,15,16,4.330532212885154,Fusión
2,13,18,26,39,4.329598506069094,Fusión
2,5,7,18,26,4.328758169934641,Fusión
5,13,16,26,39,4.328571428571428,Fusión
5,7,13,14,39,4.328027950310559,Fusión
7,13,14,15,16,4.32788789428815,Fusión
13,14,18,26,39,4.32695418747209,Fusión
5,7,14,18,26,4.326113851337636,Fusión
2,5,16,26,39,4.324789915966386,Fusión
2,5,7,14,39,4.324246437705517,Fusión
2,7,14,15,16,4.324106381683108,Fusión
2,14,18,26,39,4.323172674867048,Fusión
2,5,13,14,18,4.322332338732594,Fusión
5,14,16,26,39,4.322145597369382,Fusión
5,6,13,15,26,4.321708683473389,Fusión
7,13,16,26,39,4.320588235294117,Fusión
5,8,13,15,26,4.318767507002801,Fusión
2,5,6,15,26,4.317927170868347,Fusión
2,7,16,26,39,4.316806722689075,Fusión
2,5,7,13,16,4.315966386554622,Fusión
5,6,14,15,26,4.315282852271343,Fusión
2,5,8,15,26,4.314985994397759,Fusión
2,13,16,18,26,4.314892623716153,Fusión
2,7,13,14,18,4.314349145455283,Fusión
7,14,16,26,39,4.314162404092071,Fusión
6,7,13,15,26,4.313725490196078,Fusión
5,7,13,14,16,4.313322067957618,Fusión
5,8,14,15,26,4.312341675800755,Fusión
13,14,16,18,26,4.312248305119149,Fusión
7,8,13,15,26,4.31078431372549,Fusión
2,13,14,16,39,4.310380891487029,Fusión
2,6,7,15,26,4.309943977591036,Fusión
2,5,7,14,16,4.309540555352576,Fusión
2,14,16,18,26,4.308466792514107,Fusión
6,7,14,15,26,4.307299658994032,Fusión
2,7,8,15,26,4.307002801120448,Fusión
7,8,14,15,26,4.304358482523444,Fusión
5,7,13,15,39,4.30406162464986,Fusión
2,6,13,14,15,4.30351814638899,Fusión
13,15,18,26,39,4.302987861811391,Fusión
5,7,15,18,26,4.302147525676938,Fusión
2,8,13,14,15,4.300576969918402,Fusión
2,5,7,15,39,4.300280112044818,Fusión
2,15,18,26,39,4.299206349206349,Fusión
5,6,7,13,26,4.299159663865546,Fusión
2,5,13,15,18,4.298366013071895,Fusión
5,15,16,26,39,4.298179271708683,Fusión
5,7,14,15,39,4.297635793447814,Fusión
14,15,18,26,39,4.296562030609345,Fusión
5,7,8,13,26,4.296218487394958,Fusión
2,6,13,26,39,4.296218487394958,Fusión
5,13,14,15,18,4.295721694474891,Fusión
2,5,6,7,26,4.295378151260504,Fusión
6,13,14,26,39,4.293574168797954,Fusión
2,8,13,26,39,4.29327731092437,Fusión
5,6,7,14,26,4.2927338326635,Fusión
2,5,7,8,26,4.292436974789916,Fusión
2,5,14,15,18,4.291940181869849,Fusión
8,13,14,26,39,4.290632992327366,Fusión
2,7,13,15,18,4.290382819794584,Fusión
7,15,16,26,39,4.290196078431372,Fusión
5,7,8,14,26,4.289792656192912,Fusión
2,6,14,26,39,4.289792656192912,Fusión
5,7,13,15,16,4.289355742296919,Fusión
2,5,6,13,14,4.288952320058458,Fusión
5,13,18,26,39,4.288422035480859,Fusión
13,15,16,18,26,4.28828197945845,Fusión
7,13,14,15,18,4.28773850119758,Fusión
2,8,14,26,39,4.286851479722324,Fusión
2,13,15,16,39,4.28641456582633,Fusión
2,5,8,13,14,4.28601114358787,Fusión
2,5,7,15,16,4.285574229691877,Fusión
2,5,18,26,39,4.284640522875817,Fusión
2,15,16,18,26,4.284500466853408,Fusión
2,7,14,15,18,4.283956988592538,Fusión
13,14,15,16,39,4.283770247229326,Fusión
