N1,N2,N3,N4,N5,Peso,MetodoCalculo
1,7,8,13,26,4.689523915626856,Fusión
1,8,13,21,26,4.689523915626856,Fusión
7,8,13,21,26,4.682263814616756,Fusión
1,8,13,26,35,4.680685531788473,Fusión
1,8,13,26,39,4.6756855317884725,Fusión
8,13,21,26,35,4.673425430778372,Fusión
7,8,13,26,35,4.673425430778372,Fusión
8,13,21,26,39,4.668425430778372,Fusión
7,8,13,26,39,4.668425430778372,Fusión
8,13,26,35,39,4.659587046939988,Fusión
1,7,13,21,26,4.6440693701723115,Fusión
1,13,21,26,35,4.635230986333927,Fusión
1,7,13,26,35,4.635230986333927,Fusión
1,13,21,26,39,4.6302309863339275,Fusión
1,7,13,26,39,4.6302309863339275,Fusión
7,13,21,26,35,4.627970885323827,Fusión
7,13,21,26,39,4.622970885323827,Fusión
1,13,26,35,39,4.621392602495543,Fusión
7,13,26,35,39,4.614132501485443,Fusión
13,21,26,35,39,4.614132501485443,Fusión
1,7,8,13,21,4.5880681818181825,Fusión
1,8,13,18,26,4.579927956030897,Fusión
1,8,13,21,35,4.5792297979797985,Fusión
1,7,8,13,35,4.5792297979797985,Fusión
1,8,13,21,39,4.574229797979799,Fusión
1,7,8,13,39,4.574229797979799,Fusión
1,7,8,21,26,4.573362299465241,Fusión
8,13,18,21,26,4.572667855020796,Fusión
7,8,13,18,26,4.572667855020796,Fusión
7,8,13,21,35,4.571969696969697,Fusión
7,8,13,21,39,4.566969696969697,Fusión
1,8,13,35,39,4.5653914141414145,Fusión
1,8,21,26,35,4.564523915626857,Fusión
1,7,8,26,35,4.564523915626857,Fusión
8,13,18,26,35,4.563829471182412,Fusión
1,8,21,26,39,4.559523915626857,Fusión
1,7,8,26,39,4.559523915626857,Fusión
8,13,18,26,39,4.558829471182412,Fusión
7,8,13,35,39,4.558131313131313,Fusión
8,13,21,35,39,4.558131313131313,Fusión
7,8,21,26,35,4.557263814616756,Fusión
7,8,21,26,39,4.552263814616756,Fusión
1,8,26,35,39,4.550685531788473,Fusión
7,8,26,35,39,4.543425430778372,Fusión
8,21,26,35,39,4.543425430778372,Fusión
1,13,18,21,26,4.534473410576352,Fusión
1,7,13,18,26,4.534473410576352,Fusión
1,7,13,21,35,4.533775252525253,Fusión
1,7,13,21,39,4.528775252525253,Fusión
7,13,18,21,26,4.5272133095662515,Fusión
1,13,18,26,35,4.525635026737968,Fusión
1,13,18,26,39,4.520635026737968,Fusión
1,7,13,35,39,4.519936868686869,Fusión
1,13,21,35,39,4.519936868686869,Fusión
1,7,21,26,35,4.5190693701723115,Fusión
13,18,21,26,35,4.518374925727867,Fusión
7,13,18,26,35,4.518374925727867,Fusión
1,8,13,26,32,4.518185531788473,Fusión
1,7,21,26,39,4.514069370172312,Fusión
13,18,21,26,39,4.5133749257278675,Fusión
7,13,18,26,39,4.5133749257278675,Fusión
7,13,21,35,39,4.512676767676767,Fusión
7,8,13,26,32,4.5109254307783715,Fusión
8,13,21,26,32,4.5109254307783715,Fusión
1,7,26,35,39,4.5052309863339275,Fusión
1,21,26,35,39,4.5052309863339275,Fusión
13,18,26,35,39,4.504536541889483,Fusión
8,13,26,32,35,4.502087046939987,Fusión
7,21,26,35,39,4.497970885323826,Fusión
8,13,26,32,39,4.497087046939988,Fusión
1,6,8,13,26,4.486454762557703,Fusión
6,7,8,13,26,4.479194661547603,Fusión
6,8,13,21,26,4.479194661547603,Fusión
1,7,8,13,18,4.478472222222223,Fusión
1,8,13,18,21,4.478472222222223,Fusión
1,8,13,26,30,4.476320452423393,Fusión
1,13,21,26,32,4.472730986333927,Fusión
1,7,13,26,32,4.472730986333927,Fusión
7,8,13,18,21,4.471212121212122,Fusión
6,8,13,26,35,4.470356277709219,Fusión
1,8,13,18,35,4.469633838383839,Fusión
7,8,13,26,30,4.469060351413293,Fusión
8,13,21,26,30,4.469060351413293,Fusión
7,13,21,26,32,4.4654708853238265,Fusión
6,8,13,26,39,4.465356277709219,Fusión
1,8,13,18,39,4.464633838383839,Fusión
1,13,26,32,35,4.463892602495544,Fusión
1,8,18,21,26,4.463766339869282,Fusión
1,7,8,18,26,4.463766339869282,Fusión
