N1,N2,N3,N4,N5,Peso,MetodoCalculo
3,8,9,13,14,4.749813258636788,Fusión
8,9,13,14,15,4.728804855275444,Fusión
3,8,9,13,15,4.71171802054155,Fusión
3,8,9,14,15,4.707796451914099,Fusión
8,9,13,14,30,4.707796451914099,Fusión
3,8,9,13,30,4.690709617180206,Fusión
3,8,9,14,30,4.686788048552755,Fusión
3,8,13,14,15,4.676750700280111,Fusión
3,9,13,14,15,4.669981325863679,Fusión
8,9,13,15,30,4.669701213818861,Fusión
8,9,14,15,30,4.66577964519141,Fusión
3,8,13,14,30,4.655742296918767,Fusión
3,9,13,14,30,4.648972922502335,Fusión
3,8,9,15,30,4.648692810457517,Fusión
5,8,9,13,14,4.642145191409897,Fusión
8,9,13,14,21,4.641619981325864,Fusión
8,13,14,15,30,4.6347338935574225,Fusión
9,13,14,15,30,4.627964519140989,Fusión
3,5,8,9,13,4.6250583566760035,Fusión
3,8,9,13,21,4.62453314659197,Fusión
3,5,8,9,14,4.6211367880485525,Fusión
3,8,9,14,21,4.620611577964519,Fusión
3,8,13,15,30,4.617647058823529,Fusión
8,9,13,14,18,4.615359477124183,Fusión
3,8,14,15,30,4.613725490196078,Fusión
3,9,13,15,30,4.610877684407096,Fusión
3,9,14,15,30,4.606956115779645,Fusión
5,8,9,13,15,4.604049953314659,Fusión
8,9,13,15,21,4.603524743230626,Fusión
5,8,9,14,15,4.600128384687208,Fusión
8,9,14,15,21,4.599603174603175,Fusión
3,8,9,13,18,4.598272642390289,Fusión
3,8,9,14,18,4.594351073762838,Fusión
3,5,8,13,14,4.590091036414566,Fusión
3,8,13,14,21,4.589565826330532,Fusión
3,5,9,13,14,4.5833216619981325,Fusión
3,5,8,9,15,4.583041549953315,Fusión
5,8,9,13,30,4.583041549953315,Fusión
3,9,13,14,21,4.582796451914099,Fusión
8,9,13,21,30,4.582516339869281,Fusión
3,8,9,15,21,4.582516339869281,Fusión
5,8,9,14,30,4.579119981325864,Fusión
8,9,14,21,30,4.57859477124183,Fusión
8,9,13,15,18,4.577264239028945,Fusión
3,13,14,15,30,4.575910364145658,Fusión
8,9,14,15,18,4.573342670401494,Fusión
5,8,13,14,15,4.56908263305322,Fusión
8,13,14,15,21,4.568557422969187,Fusión
3,8,13,14,18,4.563305322128851,Fusión
5,9,13,14,15,4.562313258636788,Fusión
3,5,8,9,30,4.56203314659197,Fusión
9,13,14,15,21,4.561788048552754,Fusión
3,8,9,21,30,4.561507936507937,Fusión
3,9,13,14,18,4.556535947712418,Fusión
8,9,13,18,30,4.5562558356676,Fusión
3,8,9,15,18,4.5562558356676,Fusión
8,9,14,18,30,4.552334267040149,Fusión
3,5,8,13,15,4.551995798319327,Fusión
3,8,13,15,21,4.5514705882352935,Fusión
3,5,8,14,15,4.548074229691876,Fusión
5,8,13,14,30,4.548074229691876,Fusión
3,8,14,15,21,4.5475490196078425,Fusión
8,13,14,21,30,4.5475490196078425,Fusión
3,5,9,13,15,4.5452264239028946,Fusión
3,9,13,15,21,4.54470121381886,Fusión
8,13,14,15,18,4.542296918767507,Fusión
5,9,13,14,30,4.541304855275444,Fusión
3,5,9,14,15,4.541304855275444,Fusión
5,8,9,15,30,4.541024743230626,Fusión
3,9,14,15,21,4.540779645191409,Fusión
9,13,14,21,30,4.540779645191409,Fusión
8,9,15,21,30,4.540499533146591,Fusión
9,13,14,15,18,4.535527544351074,Fusión
3,8,9,18,30,4.535247432306256,Fusión
3,5,8,13,30,4.530987394957982,Fusión
3,8,13,21,30,4.530462184873949,Fusión
3,5,8,14,30,4.5270658263305315,Fusión
3,8,14,21,30,4.526540616246498,Fusión
3,8,13,15,18,4.525210084033613,Fusión
3,5,9,13,30,4.52421802054155,Fusión
3,9,13,21,30,4.523692810457516,Fusión
3,8,14,15,18,4.521288515406162,Fusión
8,13,14,18,30,4.521288515406162,Fusión
3,5,9,14,30,4.520296451914099,Fusión
3,9,14,21,30,4.519771241830065,Fusión
3,9,13,15,18,4.51844070961718,Fusión
5,8,9,13,21,4.516865079365079,Fusión
9,13,14,18,30,4.514519140989729,Fusión
3,9,14,15,18,4.514519140989729,Fusión
8,9,15,18,30,4.514239028944911,Fusión
5,8,9,14,21,4.512943510737628,Fusión
3,5,13,14,15,4.510259103641456,Fusión
5,8,13,15,30,4.509978991596638,Fusión
