N1,N2,N3,N4,N5,Peso,MetodoCalculo
6,11,26,31,39,4.528376935880735,Promedio
2,6,11,26,31,4.429086155738891,Promedio
6,11,26,31,35,4.426510567832956,Promedio
6,11,26,31,32,4.40780955999421,Promedio
2,6,11,26,39,4.391807786944565,Promedio
6,11,26,35,39,4.38923219903863,Promedio
6,11,26,32,39,4.370531191199884,Promedio
2,6,26,31,39,4.365256368504848,Promedio
6,26,31,35,39,4.362680780598914,Promedio
6,26,31,32,39,4.343979772760168,Promedio
6,11,15,26,31,4.336887574178608,Promedio
2,6,11,31,39,4.336887574178608,Promedio
6,11,31,35,39,4.334311986272673,Promedio
6,11,31,32,39,4.315610978433927,Promedio
2,11,26,31,39,4.313874113475177,Promedio
11,26,31,35,39,4.311298525569242,Promedio
6,11,15,26,39,4.299609205384281,Promedio
11,26,31,32,39,4.2925975177304965,Promedio
2,6,11,26,35,4.289941418896786,Promedio
6,15,26,31,39,4.273057786944565,Promedio
2,6,11,26,32,4.27124041105804,Promedio
6,11,26,32,35,4.268664823152106,Promedio
2,6,26,31,35,4.26339000045707,Promedio
6,11,15,31,39,4.2446889926183236,Promedio
2,6,26,31,32,4.2446889926183236,Promedio
6,26,31,32,35,4.24211340471239,Promedio
2,6,11,31,35,4.2350212061308286,Promedio
2,6,26,35,39,4.226111631662744,Promedio
11,15,26,31,39,4.221675531914894,Promedio
2,6,11,31,32,4.216320198292083,Promedio
6,11,31,32,35,4.213744610386147,Promedio
2,11,26,31,35,4.212007745427399,Promedio
2,6,26,32,39,4.207410623823998,Promedio
6,26,32,35,39,4.204835035918062,Promedio
2,6,11,15,26,4.200318425242438,Promedio
2,6,11,35,39,4.197742837336502,Promedio
6,11,15,26,35,4.197742837336502,Promedio
2,11,26,31,32,4.193306737588653,Promedio
11,26,31,32,35,4.190731149682717,Promedio
2,6,11,32,39,4.1790418294977565,Promedio
6,11,15,26,32,4.1790418294977565,Promedio
6,11,32,35,39,4.176466241591822,Promedio
2,11,26,35,39,4.174729376633072,Promedio
2,6,15,26,31,4.173767006802722,Promedio
6,15,26,31,35,4.171191418896786,Promedio
2,6,31,35,39,4.171191418896786,Promedio
2,11,26,32,39,4.156028368794326,Promedio
11,26,32,35,39,4.153452780888392,Promedio
6,15,26,31,32,4.15249041105804,Promedio
2,6,31,32,39,4.15249041105804,Promedio
6,31,32,35,39,4.1499148231521055,Promedio
2,26,31,35,39,4.148177958193356,Promedio
2,6,11,15,31,4.14539821247648,Promedio
6,11,15,31,35,4.142822624570545,Promedio
2,6,15,26,39,4.1364886380083945,Promedio
6,15,26,35,39,4.133913050102461,Promedio
2,26,31,32,39,4.12947695035461,Promedio
26,31,32,35,39,4.126901362448676,Promedio
6,11,15,31,32,4.124121616731799,Promedio
2,11,15,26,31,4.122384751773049,Promedio
11,15,26,31,35,4.1198091638671155,Promedio
2,11,31,35,39,4.119809163867115,Promedio
6,15,26,32,39,4.115212042263714,Promedio
2,6,11,15,39,4.108119843682154,Promedio
6,11,15,35,39,4.105544255776218,Promedio
2,6,26,32,35,4.105544255776218,Promedio
11,15,26,31,32,4.101108156028369,Promedio
2,11,31,32,39,4.101108156028369,Promedio
11,31,32,35,39,4.098532568122433,Promedio
6,11,15,32,39,4.086843247937473,Promedio
2,11,15,26,39,4.085106382978724,Promedio
11,15,26,35,39,4.082530795072788,Promedio
2,6,15,31,39,4.081568425242438,Promedio
6,15,31,35,39,4.078992837336502,Promedio
2,6,11,32,35,4.077175461449977,Promedio
11,15,26,32,39,4.0638297872340425,Promedio
6,15,31,32,39,4.060291829497757,Promedio
2,15,26,31,39,4.058554964539008,Promedio
15,26,31,35,39,4.055979376633072,Promedio
2,11,26,32,35,4.0541620007465475,Promedio
2,6,31,32,35,4.050624043010261,Promedio
15,26,31,32,39,4.037278368794326,Promedio
2,6,15,26,35,4.034622269960616,Promedio
2,11,15,31,39,4.030186170212766,Promedio
2,26,31,32,35,4.027610582306831,Promedio
11,15,31,35,39,4.027610582306831,Promedio
2,6,15,26,32,4.01592126212187,Promedio
2,6,32,35,39,4.013345674215936,Promedio
6,15,26,32,35,4.013345674215935,Promedio
11,15,31,32,39,4.008909574468085,Promedio
2,6,11,15,35,4.0062534756343755,Promedio
2,11,31,32,35,3.99924178798059,Promedio
2,26,32,35,39,3.9903322135125046,Promedio
2,6,11,15,32,3.987552467795629,Promedio
6,11,15,32,35,3.984976879889694,Promedio
2,11,15,26,35,3.9832400149309444,Promedio
2,6,15,31,35,3.979702057194659,Promedio
2,11,15,26,32,3.9645390070921986,Promedio
2,11,32,35,39,3.961963419186264,Promedio
11,15,26,32,35,3.9619634191862634,Promedio
2,6,15,31,32,3.9610010493559127,Promedio
6,15,31,32,35,3.958425461449978,Promedio
2,15,26,31,35,3.956688596491228,Promedio
2,6,15,35,39,3.9424236884003325,Promedio
2,15,26,31,32,3.9379875886524824,Promedio
15,26,31,32,35,3.935412000746547,Promedio
2,31,32,35,39,3.9354120007465467,Promedio
2,11,15,31,35,3.9283198021649874,Promedio
2,6,15,32,39,3.9237226805615864,Promedio
6,15,32,35,39,3.9211470926556515,Promedio
2,15,26,35,39,3.919410227696902,Promedio
2,11,15,31,32,3.9096187943262413,Promedio
11,15,31,32,35,3.9070432064203064,Promedio
2,15,26,32,39,3.900709219858156,Promedio
15,26,32,35,39,3.898133631952221,Promedio
2,11,15,35,39,3.891041433370661,Promedio
2,11,15,32,39,3.872340425531915,Promedio
11,15,32,35,39,3.86976483762598,Promedio
2,15,31,35,39,3.864490014930944,Promedio
2,15,31,32,39,3.8457890070921983,Promedio
15,31,32,35,39,3.8432134191862635,Promedio
2,6,15,32,35,3.821856312513807,Promedio
2,15,26,32,35,3.7988428518103774,Promedio
2,11,15,32,35,3.7704740574841358,Promedio
2,15,31,32,35,3.7439226390444196,Promedio
2,15,32,35,39,3.7066442702500932,Promedio
