N1,N2,N3,N4,N5,Peso,MetodoCalculo
23,25,28,33,37,4.571765820756163,Promedio
15,23,25,28,37,4.566078697421981,Promedio
20,23,25,28,37,4.554923186266469,Promedio
15,25,28,33,37,4.553835989393496,Promedio
18,23,25,28,37,4.546695095948827,Promedio
15,23,28,33,37,4.546373302826332,Promedio
20,25,28,33,37,4.542680478237985,Promedio
15,20,25,28,37,4.536993354903803,Promedio
20,23,28,33,37,4.535217791670821,Promedio
18,25,28,33,37,4.534452387920343,Promedio
15,20,23,28,37,4.529530668336639,Promedio
15,18,25,28,37,4.52876526458616,Promedio
18,23,28,33,37,4.526989701353179,Promedio
15,18,23,28,37,4.521302578018996,Promedio
18,20,25,28,37,4.51760975343065,Promedio
15,20,28,33,37,4.517287960308153,Promedio
18,20,23,28,37,4.510147066863485,Promedio
15,18,28,33,37,4.5090598699905104,Promedio
18,20,28,33,37,4.497904358834999,Promedio
21,23,25,28,37,4.493567874911158,Promedio
15,18,20,28,37,4.492217235500817,Promedio
15,23,25,33,37,4.486671810289018,Promedio
15,23,25,28,33,4.484752833743176,Promedio
21,25,28,33,37,4.481325166882674,Promedio
15,21,25,28,37,4.475638043548491,Promedio
20,23,25,33,37,4.475516299133507,Promedio
21,23,28,33,37,4.47386248031551,Promedio
20,23,25,28,33,4.473597322587665,Promedio
15,20,23,25,37,4.469829175799324,Promedio
15,21,23,28,37,4.468175356981327,Promedio
15,20,23,25,28,4.467910199253483,Promedio
18,23,25,33,37,4.467288208815864,Promedio
18,23,25,28,33,4.465369232270023,Promedio
20,21,25,28,37,4.464482532392981,Promedio
15,18,23,25,37,4.461601085481682,Promedio
15,18,23,25,28,4.45968210893584,Promedio
15,20,25,33,37,4.45758646777084,Promedio
23,25,27,28,37,4.4573124636557475,Promedio
19,23,25,28,37,4.4573124636557475,Promedio
1,23,25,28,37,4.457142857142857,Promedio
20,21,23,28,37,4.457019845825816,Promedio
18,21,25,28,37,4.456254442075338,Promedio
15,21,28,33,37,4.4559326489528415,Promedio
