N1,N2,N3,N4,N5,Peso,MetodoCalculo
2,6,11,26,39,4.59849755096234,Promedio
2,11,26,32,39,4.59128762473833,Promedio
2,11,15,26,39,4.563118610653822,Promedio
2,11,26,31,39,4.560077637542427,Promedio
6,11,26,32,39,4.549201776314453,Promedio
6,11,15,26,39,4.521032762229946,Promedio
6,11,26,31,39,4.51799178911855,Promedio
2,6,11,32,39,4.5144477978985025,Promedio
2,11,26,33,39,4.513822836005935,Promedio
11,15,26,32,39,4.513822836005935,Promedio
11,26,31,32,39,4.5107818628945395,Promedio
2,6,11,15,39,4.4862787838139955,Promedio
2,6,11,31,39,4.4832378107026,Promedio
11,15,26,31,39,4.4826128488100325,Promedio
2,11,15,32,39,4.479068857589985,Promedio
2,6,11,26,32,4.478779241103185,Promedio
2,11,31,32,39,4.476027884478589,Promedio
6,11,26,33,39,4.471736987582059,Promedio
11,26,32,33,39,4.464527061358048,Promedio
2,6,11,15,26,4.450610227018678,Promedio
2,6,26,32,39,4.450414608865313,Promedio
2,11,15,31,39,4.447858870394082,Promedio
2,6,11,26,31,4.447569253907282,Promedio
2,11,15,26,32,4.443400300794667,Promedio
2,11,26,31,32,4.440359327683272,Promedio
2,6,11,33,39,4.436983009166108,Promedio
6,11,15,32,39,4.4369830091661075,Promedio
11,15,26,33,39,4.436358047273541,Promedio
6,11,31,32,39,4.433942036054712,Promedio
11,26,31,33,39,4.433317074162145,Promedio
2,11,26,35,39,4.432685293044819,Promedio
2,11,32,33,39,4.429773082942098,Promedio
2,11,17,26,39,4.429315793752414,Promedio
2,6,15,26,39,4.422245594780806,Promedio
2,6,26,31,39,4.419204621669411,Promedio
2,15,26,32,39,4.415035668556795,Promedio
2,11,15,26,31,4.412190313598765,Promedio
2,26,31,32,39,4.4119946954454,Promedio
6,11,15,31,39,4.405773021970205,Promedio
2,11,15,33,39,4.401604068857591,Promedio
6,11,15,26,32,4.401314452370791,Promedio
2,6,11,26,33,4.401314452370791,Promedio
2,11,31,33,39,4.398563095746194,Promedio
11,15,31,32,39,4.398563095746194,Promedio
6,11,26,31,32,4.3982734792593945,Promedio
2,11,26,32,33,4.39410452614678,Promedio
6,11,26,35,39,4.390599444620943,Promedio
6,11,32,33,39,4.3876872345182205,Promedio
6,11,17,26,39,4.387229945328537,Promedio
2,15,26,31,39,4.383825681360893,Promedio
11,26,32,35,39,4.383389518396932,Promedio
11,17,26,32,39,4.380020019104526,Promedio
2,6,26,33,39,4.372949820132919,Promedio
6,15,26,32,39,4.372949820132918,Promedio
6,11,15,26,31,4.3701044651748875,Promedio
6,26,31,32,39,4.369908847021523,Promedio
2,6,11,15,32,4.3665604739548405,Promedio
2,11,15,26,33,4.365935512062273,Promedio
2,26,32,33,39,4.365739893908908,Promedio
2,6,11,31,32,4.363519500843445,Promedio
11,15,26,31,32,4.3628945389508775,Promedio
2,11,26,31,33,4.362894538950877,Promedio
6,11,15,33,39,4.3595182204337135,Promedio
6,11,31,33,39,4.356477247322318,Promedio
2,6,11,35,39,4.355845466204992,Promedio
11,15,26,35,39,4.355220504312425,Promedio
2,6,11,17,39,4.352475966912587,Promedio
11,15,32,33,39,4.352308294209703,Promedio
11,26,31,35,39,4.3521795312010285,Promedio
6,11,26,32,33,4.352018677722903,Promedio
11,15,17,26,39,4.35185100502002,Promedio
11,31,32,33,39,4.349267321098307,Promedio
11,17,26,31,39,4.348810031908624,Promedio
2,11,32,35,39,4.3486355399809815,Promedio
2,11,17,32,39,4.345266040688577,Promedio
6,15,26,31,39,4.341739832937016,Promedio
2,6,15,32,39,4.338195841716969,Promedio
2,15,26,33,39,4.337570879824401,Promedio
2,6,11,15,31,4.335350486758938,Promedio
2,6,31,32,39,4.3351548686055725,Promedio
15,26,31,32,39,4.334529906713005,Promedio
2,26,31,33,39,4.334529906713005,Promedio
2,11,15,31,32,4.328140560534927,Promedio
6,11,15,26,33,4.323849663638396,Promedio
6,26,32,33,39,4.323654045485031,Promedio
11,15,31,33,39,4.3210983070138,Promedio
6,11,26,31,33,4.3208086905270005,Promedio
2,11,15,35,39,4.3204665258964745,Promedio
2,6,11,26,35,4.320176909409675,Promedio
2,11,31,35,39,4.317425552785078,Promedio
2,6,11,32,33,4.3172646993069534,Promedio
2,11,15,17,39,4.317097026604069,Promedio
2,6,11,17,26,4.316807410117269,Promedio
11,15,26,32,33,4.316639737414386,Promedio
2,11,17,31,39,4.314056053492673,Promedio
