N1,N2,N3,N4,N5,Peso,MetodoCalculo
2,26,32,38,39,4.017603850050659,Fusión
2,26,31,32,39,4.013547998986828,Fusión
2,26,32,33,39,4.008738601823708,Fusión
2,11,26,32,39,4.008073708206687,Fusión
2,15,26,32,39,3.999164133738602,Fusión
2,26,31,38,39,3.9798600557244175,Fusión
2,26,31,32,38,3.979100177304965,Fusión
2,26,33,38,39,3.9750506585612966,Fusión
2,11,26,38,39,3.9743857649442758,Fusión
2,26,32,33,38,3.9742907801418443,Fusión
2,11,26,32,38,3.9736258865248226,Fusión
2,26,31,33,39,3.9709948074974672,Fusión
2,11,26,31,39,3.9703299138804455,Fusión
2,26,31,32,33,3.970234929078014,Fusión
2,11,26,31,32,3.9695700354609933,Fusión
26,31,32,38,39,3.969221757852077,Fusión
2,6,26,32,39,3.9668005500072367,Fusión
2,11,26,33,39,3.9655205167173246,Fusión
2,15,26,38,39,3.9654761904761906,Fusión
2,11,26,32,33,3.9647606382978724,Fusión
2,15,26,32,38,3.964716312056738,Fusión
26,32,33,38,39,3.9644123606889563,Fusión
11,26,32,38,39,3.9637474670719355,Fusión
2,15,26,31,39,3.961420339412361,Fusión
2,15,26,31,32,3.960660460992908,Fusión
26,31,32,33,39,3.960356509625127,Fusión
11,26,31,32,39,3.9596916160081053,Fusión
2,15,26,33,39,3.95661094224924,Fusión
2,11,15,26,39,3.955946048632219,Fusión
2,15,26,32,33,3.9558510638297877,Fusión
2,11,15,26,32,3.955186170212766,Fusión
11,26,32,33,39,3.9548822188449844,Fusión
15,26,32,38,39,3.9548378926038503,Fusión
15,26,31,32,39,3.9507820415400206,Fusión
15,26,32,33,39,3.9459726443768997,Fusión
11,15,26,32,39,3.945307750759879,Fusión
2,26,32,35,39,3.943975630565776,Fusión
2,18,26,32,39,3.9429634848167883,Fusión
2,26,31,33,38,3.9365469858156033,Fusión
2,11,26,31,38,3.9358820921985815,Fusión
2,6,26,38,39,3.9331126067448254,Fusión
2,6,26,32,38,3.9323527283253727,Fusión
2,11,26,33,38,3.9310726950354606,Fusión
2,6,26,31,39,3.9290567556809957,Fusión
2,6,26,31,32,3.928296877261543,Fusión
2,11,26,31,33,3.9270168439716313,Fusión
2,15,26,31,38,3.926972517730497,Fusión
26,31,33,38,39,3.926668566362715,Fusión
11,26,31,38,39,3.9260036727456944,Fusión
26,31,32,33,38,3.925908687943262,Fusión
11,26,31,32,38,3.9252437943262413,Fusión
2,6,26,33,39,3.9242473585178748,Fusión
2,6,11,26,39,3.923582464900854,Fusión
2,6,26,32,33,3.9234874800984225,Fusión
2,6,11,26,32,3.922822586481401,Fusión
6,26,32,38,39,3.922474308872485,Fusión
2,15,26,33,38,3.922163120567376,Fusión
2,11,15,26,38,3.921498226950355,Fusión
11,26,33,38,39,3.9211942755825735,Fusión
11,26,32,33,38,3.9204343971631204,Fusión
6,26,31,32,39,3.9184184578086554,Fusión
2,15,26,31,33,3.9181072695035466,Fusión
2,11,15,26,31,3.917442375886525,Fusión
11,26,31,33,39,3.9171384245187433,Fusión
15,26,31,38,39,3.9170940982776092,Fusión
11,26,31,32,33,3.91637854609929,Fusión
15,26,31,32,38,3.916334219858156,Fusión
2,6,15,26,39,3.914672890432769,Fusión
2,6,15,26,32,3.913913012013316,Fusión
6,26,32,33,39,3.9136090606455345,Fusión
6,11,26,32,39,3.9129441670285137,Fusión
2,11,15,26,33,3.912632978723404,Fusión
15,26,33,38,39,3.912284701114489,Fusión
11,15,26,38,39,3.911619807497467,Fusión
15,26,32,33,38,3.9115248226950357,Fusión
11,15,26,32,38,3.910859929078014,Fusión
2,26,35,38,39,3.9102876873033647,Fusión
2,26,32,35,38,3.909527808883912,Fusión
2,18,26,38,39,3.909275541554377,Fusión
2,18,26,32,38,3.9085156631349243,Fusión
15,26,31,33,39,3.9082288500506586,Fusión
11,15,26,31,39,3.9075639564336377,Fusión
15,26,31,32,33,3.9074689716312054,Fusión
11,15,26,31,32,3.9068040780141846,Fusión
2,26,31,35,39,3.906231836239535,Fusión
2,26,31,32,35,3.9054719578200823,Fusión
2,18,26,31,39,3.905219690490547,Fusión
2,18,26,31,32,3.9044598120710945,Fusión
6,15,26,32,39,3.9040345925604285,Fusión
11,15,26,33,39,3.902754559270517,Fusión
11,15,26,32,33,3.9019946808510637,Fusión
2,26,33,35,39,3.901422439076414,Fusión
2,11,26,35,39,3.9007575454593932,Fusión
2,26,32,33,35,3.900662560656962,Fusión
2,18,26,33,39,3.9004102933274263,Fusión
2,11,26,32,35,3.89999766703994,Fusión
2,11,18,26,39,3.8997453997104055,Fusión
2,18,26,32,33,3.899650414907974,Fusión
26,32,35,38,39,3.8996493894310245,Fusión
2,11,18,26,32,3.8989855212909523,Fusión
18,26,32,38,39,3.8986372436820367,Fusión
26,31,32,35,39,3.8955935383671947,Fusión
2,6,26,31,38,3.8946089339991317,Fusión
18,26,31,32,39,3.894581392618207,Fusión
2,15,26,35,39,3.891847970991308,Fusión
