N1,N2,N3,N4,N5,Peso,MetodoCalculo
1,17,18,24,33,4.189961725178791,Promedio
1,11,18,24,33,4.146106683161984,Promedio
1,18,24,32,33,4.1402593442264095,Promedio
1,14,18,24,33,4.133048765384094,Promedio
1,3,18,24,33,4.10712442359149,Promedio
1,11,17,18,24,4.096404302209604,Promedio
1,17,18,24,32,4.090556963274029,Promedio
1,14,17,18,24,4.083346384431714,Promedio
1,3,17,18,24,4.057422042639109,Promedio
11,17,18,24,33,4.048208054013355,Promedio
1,11,18,24,32,4.046701921257222,Promedio
17,18,24,32,33,4.0423607150777805,Promedio
1,11,14,18,24,4.039491342414907,Promedio
14,17,18,24,33,4.035150136235465,Promedio
1,14,18,24,32,4.033644003479333,Promedio
1,3,11,18,24,4.013567000622302,Promedio
3,17,18,24,33,4.009225794442861,Promedio
1,11,17,24,33,4.008044513849815,Promedio
1,3,18,24,32,4.007719661686727,Promedio
1,17,24,32,33,4.00219717491424,Promedio
1,3,14,18,24,4.000509082844412,Promedio
11,18,24,32,33,3.9985056730609743,Promedio
1,14,17,24,33,3.994986596071925,Promedio
11,14,18,24,33,3.9912950942186587,Promedio
14,18,24,32,33,3.9854477552830847,Promedio
1,11,17,18,33,3.9694867088249444,Promedio
1,3,17,24,33,3.96906225427932,Promedio
3,11,18,24,33,3.9653707524260535,Promedio
1,17,18,32,33,3.96363936988937,Promedio
3,18,24,32,33,3.959523413490479,Promedio
1,11,24,32,33,3.958342132897434,Promedio
1,14,17,18,33,3.9564287910470544,Promedio
3,14,18,24,33,3.9523128346481635,Promedio
1,11,14,24,33,3.9511315540551184,Promedio
11,17,18,24,32,3.9488032921085936,Promedio
1,14,24,32,33,3.9452842151195444,Promedio
11,14,17,18,24,3.941592713266278,Promedio
14,17,18,24,32,3.935745374330704,Promedio
1,3,17,18,33,3.930504449254449,Promedio
1,3,11,24,33,3.9252072122625132,Promedio
1,11,18,32,33,3.9197843278725633,Promedio
1,3,24,32,33,3.919359873326939,Promedio
3,11,17,18,24,3.915668371473673,Promedio
1,11,14,18,33,3.9125737490302477,Promedio
1,3,14,24,33,3.9121492944846232,Promedio
3,17,18,24,32,3.9098210325380984,Promedio
1,11,17,24,32,3.9086397519450533,Promedio
1,14,18,32,33,3.9067264100946737,Promedio
3,14,17,18,24,3.902610453695783,Promedio
1,11,14,17,24,3.9014291731027377,Promedio
1,14,17,24,32,3.8955818341671637,Promedio
11,14,18,24,32,3.8918903323138974,Promedio
1,3,11,18,33,3.8866494072376425,Promedio
1,3,18,32,33,3.880802068302068,Promedio
