N1,N2,N3,N4,N5,Peso,MetodoCalculo
2,4,22,23,31,4.504036359013475,Promedio
2,4,11,22,23,4.5013884348552535,Promedio
2,11,22,23,31,4.5013884348552535,Promedio
2,6,22,23,31,4.495209604627511,Promedio
2,4,6,22,23,4.495209604627511,Promedio
2,6,11,22,23,4.492561680469289,Promedio
2,4,11,22,31,4.454312411463441,Promedio
2,4,6,22,31,4.448133581235698,Promedio
2,6,11,22,31,4.445485657077477,Promedio
2,4,6,11,22,4.445485657077477,Promedio
2,22,23,31,32,4.402009552867676,Promedio
2,4,22,23,32,4.402009552867676,Promedio
2,11,22,23,32,4.399361628709454,Promedio
2,4,22,23,29,4.395798372743452,Promedio
2,22,23,29,31,4.395798372743452,Promedio
2,6,22,23,32,4.393182798481711,Promedio
2,11,22,23,29,4.393150448585231,Promedio
4,11,22,23,31,4.39223511677745,Promedio
2,4,11,23,31,4.390423522574552,Promedio
2,6,22,23,29,4.386971618357488,Promedio
4,6,22,23,31,4.3860562865497075,Promedio
2,4,6,23,31,4.384244692346809,Promedio
6,11,22,23,31,4.383408362391486,Promedio
4,6,11,22,23,4.383408362391486,Promedio
2,4,6,11,23,4.3815967681885875,Promedio
2,6,11,23,31,4.3815967681885875,Promedio
2,4,22,31,32,4.354933529475863,Promedio
2,4,11,22,32,4.3522856053176415,Promedio
2,11,22,31,32,4.3522856053176415,Promedio
2,4,22,29,31,4.34872234935164,Promedio
2,4,6,22,32,4.346106775089899,Promedio
2,6,22,31,32,4.346106775089899,Promedio
2,4,11,22,29,4.346074425193418,Promedio
2,11,22,29,31,4.346074425193418,Promedio
2,6,11,22,32,4.343458850931677,Promedio
2,4,14,22,23,4.33989775162544,Promedio
2,14,22,23,31,4.33989775162544,Promedio
2,6,22,29,31,4.339895594965675,Promedio
2,4,6,22,29,4.339895594965675,Promedio
2,11,14,22,23,4.337249827467218,Promedio
2,6,11,22,29,4.337247670807454,Promedio
4,6,11,22,31,4.336332338999673,Promedio
2,4,6,11,31,4.334520744796775,Promedio
2,6,14,22,23,4.331070997239475,Promedio
2,22,23,29,32,4.293771566597654,Promedio
4,22,23,31,32,4.292856234789872,Promedio
2,4,14,22,31,4.292821728233627,Promedio
2,4,23,31,32,4.291044640586974,Promedio
11,22,23,31,32,4.290208310631651,Promedio
4,11,22,23,32,4.290208310631651,Promedio
2,4,11,14,22,4.290173804075406,Promedio
2,11,14,22,31,4.290173804075406,Promedio
2,11,23,31,32,4.288396716428752,Promedio
2,4,11,23,32,4.288396716428752,Promedio
4,22,23,29,31,4.286645054665649,Promedio
2,4,23,29,31,4.2848334604627505,Promedio
6,22,23,31,32,4.284029480403908,Promedio
4,6,22,23,32,4.284029480403908,Promedio
11,22,23,29,31,4.283997130507427,Promedio
4,11,22,23,29,4.283997130507427,Promedio
2,6,14,22,31,4.283994973847663,Promedio
2,4,6,14,22,4.283994973847663,Promedio
2,6,23,31,32,4.28221788620101,Promedio
2,4,6,23,32,4.28221788620101,Promedio
2,11,23,29,31,4.282185536304529,Promedio
2,4,11,23,29,4.282185536304529,Promedio
6,11,22,23,32,4.2813815562456865,Promedio
2,6,11,14,22,4.281347049689441,Promedio
2,6,11,23,32,4.279569962042788,Promedio
4,6,22,23,29,4.277818300279685,Promedio
6,22,23,29,31,4.277818300279685,Promedio
2,4,6,23,29,4.276006706076786,Promedio
2,6,23,29,31,4.276006706076786,Promedio
6,11,22,23,29,4.275170376121463,Promedio
2,6,11,23,29,4.2733587819185646,Promedio
4,6,11,23,31,4.272443450110784,Promedio
2,22,29,31,32,4.246695543205841,Promedio
2,4,22,29,32,4.246695543205841,Promedio
2,11,22,29,32,4.2440476190476195,Promedio
4,11,22,31,32,4.243132287239838,Promedio
2,4,11,31,32,4.24132069303694,Promedio
2,14,22,23,32,4.237870945479641,Promedio
2,6,22,29,32,4.237868788819876,Promedio
4,6,22,31,32,4.2369534570120955,Promedio
4,11,22,29,31,4.236921107115615,Promedio
2,4,6,31,32,4.235141862809197,Promedio
2,4,11,29,31,4.235109512912716,Promedio
6,11,22,31,32,4.234305532853874,Promedio
4,6,11,22,32,4.234305532853874,Promedio
2,4,6,11,32,4.2324939386509755,Promedio
2,6,11,31,32,4.2324939386509755,Promedio
2,14,22,23,29,4.231659765355417,Promedio
4,14,22,23,31,4.2307444335476365,Promedio
4,6,22,29,31,4.230742276887872,Promedio
2,4,14,23,31,4.228932839344738,Promedio
2,4,6,29,31,4.2289306826849735,Promedio
4,11,14,22,23,4.228096509389415,Promedio
11,14,22,23,31,4.228096509389415,Promedio
6,11,22,29,31,4.22809435272965,Promedio
4,6,11,22,29,4.22809435272965,Promedio
2,4,11,14,23,4.2262849151865165,Promedio
2,11,14,23,31,4.2262849151865165,Promedio
2,6,11,29,31,4.226282758526752,Promedio
2,4,6,11,29,4.226282758526752,Promedio
6,14,22,23,31,4.221917679161672,Promedio
4,6,14,22,23,4.221917679161672,Promedio
2,4,6,14,23,4.220106084958774,Promedio
2,6,14,23,31,4.220106084958774,Promedio
6,11,14,22,23,4.219269755003451,Promedio
2,6,11,14,23,4.217458160800552,Promedio
2,14,22,31,32,4.190794922087829,Promedio
2,4,14,22,32,4.190794922087829,Promedio
2,11,14,22,32,4.188146997929607,Promedio
22,23,29,31,32,4.18461824851985,Promedio
4,22,23,29,32,4.18461824851985,Promedio
2,4,14,22,29,4.184583741963604,Promedio
2,14,22,29,31,4.184583741963604,Promedio
2,4,23,29,32,4.182806654316952,Promedio
2,23,29,31,32,4.182806654316952,Promedio
