N1,N2,N3,N4,N5,Peso,MetodoCalculo
1,9,16,22,25,5.0,Mediana
16,22,34,37,38,5.0,Mediana
16,22,25,34,37,5.0,Mediana
16,22,25,34,38,5.0,Mediana
16,22,25,37,38,5.0,Mediana
1,16,22,37,38,5.0,Mediana
1,16,22,34,38,5.0,Mediana
1,16,22,34,37,5.0,Mediana
1,16,22,25,38,5.0,Mediana
1,16,22,25,37,5.0,Mediana
1,16,22,25,34,5.0,Mediana
16,25,34,37,38,5.0,Mediana
1,16,25,37,38,5.0,Mediana
22,25,34,37,38,5.0,Mediana
1,9,34,37,38,5.0,Mediana
1,9,25,37,38,5.0,Mediana
1,9,25,34,38,5.0,Mediana
1,9,25,34,37,5.0,Mediana
1,9,22,37,38,5.0,Mediana
1,9,22,34,38,5.0,Mediana
1,9,22,34,37,5.0,Mediana
1,9,22,25,38,5.0,Mediana
1,16,25,34,38,5.0,Mediana
1,9,16,22,34,5.0,Mediana
1,9,22,25,34,5.0,Mediana
9,16,25,37,38,5.0,Mediana
1,25,34,37,38,5.0,Mediana
9,16,22,25,34,5.0,Mediana
9,16,22,25,37,5.0,Mediana
9,16,22,25,38,5.0,Mediana
9,16,22,34,37,5.0,Mediana
9,16,22,34,38,5.0,Mediana
9,16,22,37,38,5.0,Mediana
9,16,25,34,37,5.0,Mediana
9,16,25,34,38,5.0,Mediana
1,22,34,37,38,5.0,Mediana
1,16,34,37,38,5.0,Mediana
9,16,34,37,38,5.0,Mediana
1,22,25,37,38,5.0,Mediana
1,22,25,34,38,5.0,Mediana
1,22,25,34,37,5.0,Mediana
9,22,25,34,37,5.0,Mediana
9,22,25,34,38,5.0,Mediana
9,22,25,37,38,5.0,Mediana
9,22,34,37,38,5.0,Mediana
9,25,34,37,38,5.0,Mediana
1,9,22,25,37,5.0,Mediana
1,16,25,34,37,5.0,Mediana
1,9,16,34,37,5.0,Mediana
1,9,16,25,34,5.0,Mediana
1,9,16,22,37,5.0,Mediana
1,9,16,25,37,5.0,Mediana
1,9,16,34,38,5.0,Mediana
1,9,16,25,38,5.0,Mediana
1,9,16,22,38,5.0,Mediana
1,9,16,37,38,5.0,Mediana
15,16,25,34,38,4.9375,Mediana
1,15,16,25,38,4.9375,Mediana
1,15,22,25,34,4.9375,Mediana
15,22,25,34,37,4.9375,Mediana
1,9,15,16,25,4.9375,Mediana
1,15,22,25,37,4.9375,Mediana
1,15,22,25,38,4.9375,Mediana
9,15,16,34,38,4.9375,Mediana
15,22,34,37,38,4.9375,Mediana
1,15,16,25,37,4.9375,Mediana
1,9,15,25,34,4.9375,Mediana
1,15,16,25,34,4.9375,Mediana
9,15,16,34,37,4.9375,Mediana
15,16,22,25,34,4.9375,Mediana
1,15,22,34,37,4.9375,Mediana
1,15,22,34,38,4.9375,Mediana
9,15,16,37,38,4.9375,Mediana
9,15,22,25,34,4.9375,Mediana
9,15,34,37,38,4.9375,Mediana
1,9,15,34,37,4.9375,Mediana
9,15,25,34,37,4.9375,Mediana
9,15,25,34,38,4.9375,Mediana
15,22,25,37,38,4.9375,Mediana
15,22,25,34,38,4.9375,Mediana
9,15,22,37,38,4.9375,Mediana
9,15,25,37,38,4.9375,Mediana
1,9,15,16,38,4.9375,Mediana
9,15,22,34,38,4.9375,Mediana
9,15,22,34,37,4.9375,Mediana
1,9,15,16,34,4.9375,Mediana
1,9,15,25,38,4.9375,Mediana
1,15,16,34,38,4.9375,Mediana
9,15,22,25,38,4.9375,Mediana
9,15,22,25,37,4.9375,Mediana
1,15,16,34,37,4.9375,Mediana
1,9,15,25,37,4.9375,Mediana
1,9,15,34,38,4.9375,Mediana
9,15,16,25,38,4.9375,Mediana
15,16,22,25,37,4.9375,Mediana
1,15,16,37,38,4.9375,Mediana
1,15,16,22,25,4.9375,Mediana
1,15,25,37,38,4.9375,Mediana
15,16,22,34,37,4.9375,Mediana
1,15,34,37,38,4.9375,Mediana
1,9,15,16,22,4.9375,Mediana
1,9,15,22,25,4.9375,Mediana
15,16,22,25,38,4.9375,Mediana
9,15,16,22,25,4.9375,Mediana
15,16,22,37,38,4.9375,Mediana
9,15,16,22,34,4.9375,Mediana
15,25,34,37,38,4.9375,Mediana
9,15,16,22,37,4.9375,Mediana
1,9,15,16,37,4.9375,Mediana
1,9,15,22,34,4.9375,Mediana
1,15,16,22,34,4.9375,Mediana
15,16,22,34,38,4.9375,Mediana
9,15,16,22,38,4.9375,Mediana
9,15,16,25,37,4.9375,Mediana
