N1,N2,N3,N4,N5,Peso,MetodoCalculo
1,12,26,34,36,4.406222943722944,Fusión
12,20,26,34,36,4.3410714285714285,Fusión
12,26,32,34,36,4.328300865800866,Fusión
12,18,26,34,36,4.319047619047619,Fusión
12,26,30,34,36,4.312525879917184,Fusión
12,26,34,36,38,4.303625541125541,Fusión
1,12,20,26,36,4.294967532467532,Fusión
1,12,20,26,34,4.286688311688311,Fusión
1,12,26,32,36,4.282196969696969,Fusión
7,12,26,34,36,4.275992063492064,Fusión
1,12,26,32,34,4.273917748917748,Fusión
1,12,18,26,36,4.272943722943722,Fusión
1,12,26,30,36,4.266421983813288,Fusión
1,12,18,26,34,4.264664502164502,Fusión
1,20,26,34,36,4.259902597402597,Fusión
1,12,26,30,34,4.258142763034067,Fusión
1,12,26,36,38,4.257521645021645,Fusión
1,12,26,34,38,4.249242424242424,Fusión
1,26,32,34,36,4.247132034632035,Fusión
1,12,20,34,36,4.239880952380952,Fusión
1,18,26,34,36,4.237878787878787,Fusión
1,26,30,34,36,4.231357048748353,Fusión
1,7,12,26,36,4.229888167388167,Fusión
1,12,32,34,36,4.22711038961039,Fusión
1,26,34,36,38,4.22245670995671,Fusión
1,7,12,26,34,4.221608946608947,Fusión
1,12,18,34,36,4.2178571428571425,Fusión
12,20,26,32,36,4.217045454545454,Fusión
1,12,30,34,36,4.211335403726708,Fusión
12,20,26,32,34,4.208766233766234,Fusión
12,18,20,26,36,4.207792207792208,Fusión
1,12,34,36,38,4.202435064935065,Fusión
12,20,26,30,36,4.201270468661773,Fusión
12,18,20,26,34,4.199512987012987,Fusión
12,18,26,32,36,4.195021645021645,Fusión
1,7,26,34,36,4.194823232323232,Fusión
12,20,26,30,34,4.192991247882552,Fusión
12,20,26,36,38,4.192370129870129,Fusión
12,26,30,32,36,4.18849990589121,Fusión
12,18,26,32,34,4.186742424242424,Fusión
12,20,26,34,38,4.184090909090909,Fusión
20,26,32,34,36,4.181980519480519,Fusión
12,26,30,32,34,4.18022068511199,Fusión
12,26,32,36,38,4.179599567099567,Fusión
12,18,26,30,36,4.179246659137964,Fusión
1,7,12,34,36,4.174801587301587,Fusión
18,20,26,34,36,4.172727272727273,Fusión
12,26,32,34,38,4.171320346320346,Fusión
12,18,26,30,34,4.170967438358743,Fusión
12,18,26,36,38,4.1703463203463205,Fusión
20,26,30,34,36,4.1662055335968375,Fusión
7,12,20,26,36,4.164736652236652,Fusión
12,26,30,36,38,4.163824581215885,Fusión
1,12,20,26,32,4.162662337662338,Fusión
12,18,26,34,38,4.1620670995671,Fusión
12,20,32,34,36,4.1619588744588745,Fusión
18,26,32,34,36,4.15995670995671,Fusión
20,26,34,36,38,4.157305194805195,Fusión
7,12,20,26,34,4.156457431457431,Fusión
12,26,30,34,38,4.155545360436665,Fusión
26,30,32,34,36,4.153434970826275,Fusión
1,12,18,20,26,4.153409090909091,Fusión
12,18,20,34,36,4.152705627705628,Fusión
7,12,26,32,36,4.1519660894660895,Fusión
1,12,20,26,30,4.146887351778656,Fusión
12,20,30,34,36,4.146183888575193,Fusión
26,32,34,36,38,4.144534632034632,Fusión
18,26,30,34,36,4.144181724073029,Fusión
7,12,26,32,34,4.143686868686869,Fusión
7,12,18,26,36,4.142712842712843,Fusión
1,12,18,26,32,4.1406385281385285,Fusión
12,18,32,34,36,4.139935064935065,Fusión
1,12,20,26,38,4.137987012987013,Fusión
12,20,34,36,38,4.13728354978355,Fusión
7,12,26,30,36,4.136191103582408,Fusión
1,20,26,32,36,4.135876623376623,Fusión
18,26,34,36,38,4.1352813852813854,Fusión
7,12,18,26,34,4.134433621933622,Fusión
1,12,26,30,32,4.134116789008093,Fusión
12,30,32,34,36,4.13341332580463,Fusión
7,20,26,34,36,4.129671717171717,Fusión
26,30,34,36,38,4.12875964615095,Fusión
7,12,26,30,34,4.127911882803187,Fusión
1,20,26,32,34,4.127597402597402,Fusión
7,12,26,36,38,4.127290764790764,Fusión
1,18,20,26,36,4.126623376623376,Fusión
1,12,26,32,38,4.125216450216451,Fusión
1,12,18,26,30,4.124863542254847,Fusión
12,32,34,36,38,4.124512987012987,Fusión
12,18,30,34,36,4.124160079051384,Fusión
1,20,26,30,36,4.120101637492942,Fusión
7,12,26,34,38,4.119011544011544,Fusión
1,18,20,26,34,4.118344155844156,Fusión
7,26,32,34,36,4.1169011544011545,Fusión
1,12,18,26,38,4.115963203463203,Fusión
1,12,20,32,36,4.115854978354978,Fusión
12,18,34,36,38,4.115259740259741,Fusión
1,18,26,32,36,4.113852813852814,Fusión
1,20,26,30,34,4.111822416713721,Fusión
1,20,26,36,38,4.111201298701299,Fusión
1,7,12,20,26,4.110353535353536,Fusión
7,12,20,34,36,4.109650072150072,Fusión
1,12,26,30,38,4.109441464332769,Fusión
12,30,34,36,38,4.108738001129305,Fusión
7,18,26,34,36,4.107647907647908,Fusión
1,12,20,32,34,4.107575757575757,Fusión
1,26,30,32,36,4.107331074722379,Fusión
1,12,18,20,36,4.106601731601732,Fusión
1,18,26,32,34,4.1055735930735935,Fusión
1,20,26,34,38,4.102922077922078,Fusión
7,26,30,34,36,4.101126168517473,Fusión
1,12,20,30,36,4.100079992471297,Fusión
1,26,30,32,34,4.099051853943158,Fusión
1,26,32,36,38,4.0984307359307355,Fusión
1,12,18,20,34,4.098322510822511,Fusión
1,18,26,30,36,4.098077827969132,Fusión
1,7,12,26,32,4.097582972582972,Fusión
7,12,32,34,36,4.09687950937951,Fusión
1,12,18,32,36,4.093831168831169,Fusión
7,26,34,36,38,4.092225829725829,Fusión
1,12,20,30,34,4.091800771692077,Fusión
1,12,20,36,38,4.091179653679654,Fusión
1,26,32,34,38,4.090151515151515,Fusión
1,18,26,30,34,4.089798607189912,Fusión
1,18,26,36,38,4.089177489177489,Fusión
1,7,12,18,26,4.088329725829726,Fusión
7,12,18,34,36,4.087626262626263,Fusión
1,12,30,32,36,4.087309429700734,Fusión
1,12,18,32,34,4.085551948051949,Fusión
1,7,20,26,36,4.083567821067821,Fusión
1,12,20,34,38,4.082900432900433,Fusión
1,26,30,36,38,4.082655750047055,Fusión
1,7,12,26,30,4.081807986699292,Fusión
7,12,30,34,36,4.081104523495828,Fusión
1,18,26,34,38,4.080898268398268,Fusión
1,20,32,34,36,4.080790043290044,Fusión
1,12,30,32,34,4.079030208921513,Fusión
1,12,32,36,38,4.078409090909091,Fusión
1,12,18,30,36,4.0780561829474875,Fusión
12,18,20,26,32,4.075487012987013,Fusión
1,7,20,26,34,4.075288600288601,Fusión
1,26,30,34,38,4.074376529267834,Fusión
1,7,12,26,38,4.072907647907648,Fusión
7,12,34,36,38,4.0722041847041845,Fusión
1,18,20,34,36,4.071536796536797,Fusión
1,7,26,32,36,4.070797258297258,Fusión
1,12,32,34,38,4.07012987012987,Fusión
1,12,18,30,34,4.069776962168267,Fusión
1,12,18,36,38,4.069155844155844,Fusión
12,20,26,30,32,4.068965273856578,Fusión
1,20,30,34,36,4.065015057406362,Fusión
1,7,12,20,36,4.063546176046176,Fusión
1,12,30,36,38,4.06263410502541,Fusión
1,7,26,32,34,4.062518037518037,Fusión
1,7,18,26,36,4.061544011544012,Fusión
1,12,18,34,38,4.060876623376624,Fusión
12,20,26,32,38,4.0600649350649345,Fusión
12,18,20,26,30,4.059712027103331,Fusión
1,18,32,34,36,4.058766233766234,Fusión
1,20,34,36,38,4.056114718614719,Fusión
1,7,12,20,34,4.055266955266956,Fusión
1,7,26,30,36,4.055022272413577,Fusión
1,12,30,34,38,4.054354884246189,Fusión
1,7,18,26,34,4.053264790764791,Fusión
1,30,32,34,36,4.052244494635799,Fusión
12,18,20,26,38,4.050811688311688,Fusión
1,7,12,32,36,4.050775613275613,Fusión
18,20,26,32,36,4.048701298701299,Fusión
12,18,26,30,32,4.046941464332769,Fusión
1,7,26,30,34,4.0467430516343565,Fusión
1,7,26,36,38,4.046121933621934,Fusión
12,20,26,30,38,4.044289949181254,Fusión
1,32,34,36,38,4.0433441558441565,Fusión
