N1,N2,N3,N4,N5,Peso,MetodoCalculo
4,7,19,30,39,4.37936507936508,Mediana
4,7,19,37,39,4.365079365079366,Mediana
4,7,9,19,39,4.357142857142858,Mediana
4,7,30,37,39,4.3317460317460315,Mediana
3,4,7,19,39,4.329365079365079,Mediana
4,7,16,19,39,4.329365079365079,Mediana
4,7,9,30,39,4.3238095238095235,Mediana
4,7,19,29,39,4.31013431013431,Mediana
4,7,9,37,39,4.309523809523809,Mediana
4,7,19,30,37,4.307936507936508,Mediana
4,7,9,19,30,4.3,Mediana
3,4,7,30,39,4.296031746031746,Mediana
4,7,16,30,39,4.296031746031746,Mediana
4,7,19,25,39,4.2936507936507935,Mediana
4,7,9,19,37,4.285714285714286,Mediana
3,4,7,37,39,4.281746031746032,Mediana
4,7,16,37,39,4.281746031746032,Mediana
4,7,29,30,39,4.276800976800977,Mediana
7,19,30,37,39,4.276190476190476,Mediana
3,4,7,9,39,4.273809523809524,Mediana
4,7,9,16,39,4.273809523809524,Mediana
4,7,16,19,30,4.272222222222222,Mediana
3,4,7,19,30,4.272222222222222,Mediana
7,9,19,30,39,4.268253968253968,Mediana
4,7,29,37,39,4.2625152625152625,Mediana
4,7,25,30,39,4.26031746031746,Mediana
4,7,16,19,37,4.257936507936508,Mediana
3,4,7,19,37,4.257936507936508,Mediana
4,7,9,29,39,4.254578754578755,Mediana
7,9,19,37,39,4.253968253968254,Mediana
4,7,19,29,30,4.252991452991453,Mediana
4,7,9,30,37,4.252380952380952,Mediana
4,7,9,16,19,4.25,Mediana
3,4,7,9,19,4.25,Mediana
3,4,7,16,39,4.246031746031746,Mediana
4,7,18,19,39,4.246031746031746,Mediana
4,7,19,21,39,4.246031746031746,Mediana
2,4,7,19,39,4.246031746031746,Mediana
4,7,25,37,39,4.246031746031746,Mediana
3,7,19,30,39,4.2404761904761905,Mediana
7,16,19,30,39,4.2404761904761905,Mediana
4,7,19,29,37,4.238705738705739,Mediana
4,7,9,25,39,4.238095238095238,Mediana
4,7,19,25,30,4.2365079365079366,Mediana
4,7,9,19,29,4.230769230769231,Mediana
4,7,16,29,39,4.226800976800977,Mediana
3,4,7,29,39,4.226800976800977,Mediana
7,16,19,37,39,4.226190476190476,Mediana
3,7,19,37,39,4.226190476190476,Mediana
4,7,16,30,37,4.224603174603175,Mediana
3,4,7,30,37,4.224603174603175,Mediana
4,7,19,25,37,4.222222222222222,Mediana
3,4,7,16,19,4.222222222222222,Mediana
7,19,29,30,39,4.221245421245421,Mediana
7,9,30,37,39,4.220634920634921,Mediana
7,9,16,19,39,4.218253968253968,Mediana
3,7,9,19,39,4.218253968253968,Mediana
4,7,9,16,30,4.216666666666667,Mediana
3,4,7,9,30,4.216666666666667,Mediana
4,7,9,19,25,4.214285714285714,Mediana
4,7,21,30,39,4.212698412698413,Mediana
4,7,18,30,39,4.212698412698413,Mediana
2,4,7,30,39,4.212698412698413,Mediana
4,7,16,25,39,4.2103174603174605,Mediana
3,4,7,25,39,4.2103174603174605,Mediana
7,19,29,37,39,4.206959706959707,Mediana
4,7,29,30,37,4.2053724053724055,Mediana
7,19,25,30,39,4.204761904761905,Mediana
3,4,7,19,29,4.202991452991453,Mediana
4,7,16,19,29,4.202991452991453,Mediana
4,7,9,16,37,4.2023809523809526,Mediana
3,4,7,9,37,4.2023809523809526,Mediana
7,9,19,29,39,4.199023199023199,Mediana
4,7,21,37,39,4.198412698412699,Mediana
2,4,7,37,39,4.198412698412699,Mediana
4,7,18,37,39,4.198412698412699,Mediana
4,7,9,29,30,4.197435897435898,Mediana
7,9,19,30,37,4.196825396825397,Mediana
3,7,30,37,39,4.192857142857143,Mediana
7,16,30,37,39,4.192857142857143,Mediana
4,7,25,29,39,4.191086691086691,Mediana
4,7,9,21,39,4.190476190476191,Mediana
3,7,16,19,39,4.190476190476191,Mediana
7,19,25,37,39,4.190476190476191,Mediana
4,7,9,18,39,4.190476190476191,Mediana
2,4,7,9,39,4.190476190476191,Mediana
3,4,7,16,30,4.188888888888889,Mediana
4,7,18,19,30,4.188888888888889,Mediana
4,7,25,30,37,4.188888888888889,Mediana
2,4,7,19,30,4.188888888888889,Mediana
4,7,19,21,30,4.188888888888889,Mediana
4,7,16,19,25,4.186507936507937,Mediana
3,4,7,19,25,4.186507936507937,Mediana
3,7,9,30,39,4.184920634920635,Mediana
7,9,16,30,39,4.184920634920635,Mediana
4,7,9,29,37,4.1831501831501825,Mediana
7,9,19,25,39,4.182539682539683,Mediana
4,7,9,25,30,4.180952380952381,Mediana
4,7,18,19,37,4.174603174603175,Mediana
4,7,19,21,37,4.174603174603175,Mediana
2,4,7,19,37,4.174603174603175,Mediana
3,4,7,16,37,4.174603174603174,Mediana
7,29,30,37,39,4.173626373626374,Mediana
3,7,19,29,39,4.1712454212454215,Mediana
7,16,19,29,39,4.1712454212454215,Mediana
3,7,9,37,39,4.170634920634921,Mediana
7,9,16,37,39,4.170634920634921,Mediana
4,7,16,29,30,4.16965811965812,Mediana
3,4,7,29,30,4.16965811965812,Mediana
7,16,19,30,37,4.169047619047619,Mediana
3,7,19,30,37,4.169047619047619,Mediana
4,7,19,25,29,4.167277167277168,Mediana
4,7,9,18,19,4.166666666666667,Mediana
4,7,9,19,21,4.166666666666667,Mediana
2,4,7,9,19,4.166666666666667,Mediana
3,4,7,9,16,4.166666666666666,Mediana
4,7,9,25,37,4.166666666666666,Mediana
7,9,29,30,39,4.165689865689866,Mediana
4,19,30,37,39,4.165079365079365,Mediana
4,7,16,21,39,4.162698412698413,Mediana
2,4,7,16,39,4.162698412698413,Mediana
4,7,16,18,39,4.162698412698413,Mediana
2,3,4,7,39,4.162698412698413,Mediana
3,4,7,18,39,4.162698412698413,Mediana
3,4,7,21,39,4.162698412698413,Mediana
7,9,16,19,30,4.161111111111111,Mediana
3,7,9,19,30,4.161111111111111,Mediana
7,25,30,37,39,4.1571428571428575,Mediana
7,19,21,30,39,4.1571428571428575,Mediana
4,9,19,30,39,4.1571428571428575,Mediana
2,7,19,30,39,4.1571428571428575,Mediana
7,18,19,30,39,4.1571428571428575,Mediana
3,7,16,30,39,4.1571428571428575,Mediana
4,7,16,29,37,4.155372405372405,Mediana
3,4,7,29,37,4.155372405372405,Mediana
3,7,19,25,39,4.154761904761905,Mediana
7,16,19,25,39,4.154761904761905,Mediana
3,4,7,25,30,4.1531746031746035,Mediana
4,7,16,25,30,4.1531746031746035,Mediana
7,9,29,37,39,4.151404151404151,Mediana
7,19,29,30,37,4.14981684981685,Mediana
7,9,25,30,39,4.14920634920635,Mediana
4,7,9,16,29,4.147435897435897,Mediana
3,4,7,9,29,4.147435897435897,Mediana
7,9,16,19,37,4.146825396825397,Mediana
3,7,9,19,37,4.146825396825397,Mediana
2,4,7,29,39,4.143467643467644,Mediana
4,7,18,29,39,4.143467643467644,Mediana
4,7,21,29,39,4.143467643467644,Mediana
7,19,21,37,39,4.142857142857143,Mediana
4,9,19,37,39,4.142857142857143,Mediana
7,18,19,37,39,4.142857142857143,Mediana
2,7,19,37,39,4.142857142857143,Mediana
3,7,16,37,39,4.142857142857142,Mediana
7,9,19,29,30,4.141880341880342,Mediana
2,4,7,30,37,4.141269841269842,Mediana
4,7,21,30,37,4.141269841269842,Mediana
4,7,18,30,37,4.141269841269842,Mediana
3,4,7,18,19,4.138888888888889,Mediana
2,3,4,7,19,4.138888888888889,Mediana
3,4,7,19,21,4.138888888888889,Mediana
2,4,7,16,19,4.138888888888889,Mediana
4,7,16,18,19,4.138888888888889,Mediana
4,7,16,19,21,4.138888888888889,Mediana
4,7,16,25,37,4.138888888888888,Mediana
3,4,7,25,37,4.138888888888888,Mediana
7,16,29,30,39,4.137912087912088,Mediana
3,7,29,30,39,4.137912087912088,Mediana
7,19,25,29,39,4.135531135531136,Mediana
7,9,19,21,39,4.134920634920635,Mediana
2,7,9,19,39,4.134920634920635,Mediana
7,9,18,19,39,4.134920634920635,Mediana
7,9,25,37,39,4.134920634920634,Mediana
3,7,9,16,39,4.134920634920634,Mediana
4,7,25,29,30,4.133943833943834,Mediana
4,7,9,21,30,4.133333333333334,Mediana
3,7,16,19,30,4.133333333333334,Mediana
2,4,7,9,30,4.133333333333334,Mediana
4,7,9,18,30,4.133333333333334,Mediana
7,19,25,30,37,4.133333333333334,Mediana
3,4,7,9,25,4.1309523809523805,Mediana
4,7,9,16,25,4.1309523809523805,Mediana
3,4,19,30,39,4.12936507936508,Mediana
4,16,19,30,39,4.12936507936508,Mediana
7,9,19,29,37,4.127594627594627,Mediana
4,7,18,25,39,4.126984126984127,Mediana
2,4,7,25,39,4.126984126984127,Mediana
4,7,21,25,39,4.126984126984127,Mediana
7,9,19,25,30,4.125396825396826,Mediana
3,7,29,37,39,4.123626373626373,Mediana
7,16,29,37,39,4.123626373626373,Mediana
7,16,25,30,39,4.121428571428572,Mediana
3,7,25,30,39,4.121428571428572,Mediana
4,7,18,19,29,4.11965811965812,Mediana
2,4,7,19,29,4.11965811965812,Mediana
4,7,19,21,29,4.11965811965812,Mediana
3,4,7,16,29,4.119658119658119,Mediana
4,7,25,29,37,4.119658119658119,Mediana
4,7,9,18,37,4.119047619047619,Mediana
2,4,7,9,37,4.119047619047619,Mediana
4,7,9,21,37,4.119047619047619,Mediana
3,7,16,19,37,4.119047619047619,Mediana
7,9,16,29,39,4.115689865689865,Mediana
3,7,9,29,39,4.115689865689865,Mediana
4,16,19,37,39,4.115079365079366,Mediana
3,4,19,37,39,4.115079365079366,Mediana
7,16,19,29,30,4.114102564102565,Mediana
3,7,19,29,30,4.114102564102565,Mediana
3,7,9,30,37,4.113492063492064,Mediana
7,9,16,30,37,4.113492063492064,Mediana
4,7,9,25,29,4.111721611721611,Mediana
7,9,19,25,37,4.111111111111111,Mediana
3,7,9,16,19,4.111111111111111,Mediana
4,19,29,30,39,4.110134310134311,Mediana
7,21,30,37,39,4.10952380952381,Mediana
7,18,30,37,39,4.10952380952381,Mediana
2,7,30,37,39,4.10952380952381,Mediana
4,9,30,37,39,4.109523809523809,Mediana
7,16,19,21,39,4.107142857142858,Mediana
7,16,18,19,39,4.107142857142858,Mediana
2,7,16,19,39,4.107142857142858,Mediana
3,4,9,19,39,4.107142857142858,Mediana
3,7,19,21,39,4.107142857142858,Mediana
3,7,18,19,39,4.107142857142858,Mediana
2,3,7,19,39,4.107142857142858,Mediana
4,9,16,19,39,4.107142857142858,Mediana
3,7,25,37,39,4.107142857142857,Mediana
7,16,25,37,39,4.107142857142857,Mediana
4,7,16,18,30,4.105555555555556,Mediana
2,4,7,16,30,4.105555555555556,Mediana
3,4,7,21,30,4.105555555555556,Mediana
2,3,4,7,30,4.105555555555556,Mediana
3,4,7,18,30,4.105555555555556,Mediana
4,7,16,21,30,4.105555555555556,Mediana
2,4,7,19,25,4.103174603174604,Mediana
4,7,18,19,25,4.103174603174604,Mediana
4,7,19,21,25,4.103174603174604,Mediana
3,4,7,16,25,4.103174603174603,Mediana
7,25,29,30,39,4.102197802197803,Mediana
7,9,18,30,39,4.101587301587302,Mediana
2,7,9,30,39,4.101587301587302,Mediana
7,9,21,30,39,4.101587301587302,Mediana
3,7,19,29,37,4.0998168498168495,Mediana
7,16,19,29,37,4.0998168498168495,Mediana
7,9,16,25,39,4.099206349206349,Mediana
3,7,9,25,39,4.099206349206349,Mediana
7,16,19,25,30,4.097619047619048,Mediana
3,7,19,25,30,4.097619047619048,Mediana
4,19,29,37,39,4.0958485958485955,Mediana
7,9,29,30,37,4.094261294261294,Mediana
4,19,25,30,39,4.093650793650794,Mediana
3,7,9,19,29,4.0918803418803416,Mediana
7,9,16,19,29,4.0918803418803416,Mediana
4,7,16,21,37,4.091269841269841,Mediana
4,7,16,18,37,4.091269841269841,Mediana
2,4,7,16,37,4.091269841269841,Mediana
3,4,7,21,37,4.091269841269841,Mediana
2,3,4,7,37,4.091269841269841,Mediana
3,4,7,18,37,4.091269841269841,Mediana
7,19,21,29,39,4.0879120879120885,Mediana
7,18,19,29,39,4.0879120879120885,Mediana
2,7,19,29,39,4.0879120879120885,Mediana
3,7,16,29,39,4.087912087912088,Mediana
7,25,29,37,39,4.087912087912088,Mediana
4,9,19,29,39,4.087912087912088,Mediana
2,7,9,37,39,4.087301587301587,Mediana
7,9,18,37,39,4.087301587301587,Mediana
7,9,21,37,39,4.087301587301587,Mediana
2,4,7,29,30,4.086324786324787,Mediana
4,7,18,29,30,4.086324786324787,Mediana
4,7,21,29,30,4.086324786324787,Mediana
2,7,19,30,37,4.085714285714286,Mediana
7,18,19,30,37,4.085714285714286,Mediana
7,19,21,30,37,4.085714285714286,Mediana
4,9,19,30,37,4.085714285714285,Mediana
