N1,N2,N3,N4,N5,Peso,MetodoCalculo
5,14,16,21,35,4.624812719367175,Promedio
5,11,14,16,35,4.584815862538635,Promedio
5,14,16,28,35,4.545604798575096,Promedio
5,14,15,16,35,4.531376709099481,Promedio
5,12,14,16,35,4.504657132379904,Promedio
5,14,16,33,35,4.496099848080046,Promedio
5,11,16,21,35,4.491214835769291,Promedio
11,14,16,21,35,4.4907564565980405,Promedio
5,11,14,21,35,4.475904971449526,Promedio
5,11,14,16,21,4.4644952590497144,Promedio
5,14,16,24,35,4.4565618942846665,Promedio
5,16,21,28,35,4.452003771805752,Promedio
14,16,21,28,35,4.451545392634501,Promedio
1,5,14,16,35,4.439072716795489,Promedio
5,15,16,21,35,4.4377756823301375,Promedio
14,15,16,21,35,4.4373173031588875,Promedio
5,14,21,28,35,4.436693907485987,Promedio
5,14,16,21,28,4.425284195086175,Promedio
5,14,15,21,35,4.422465818010372,Promedio
5,11,16,28,35,4.412006914977212,Promedio
11,14,16,28,35,4.411548535805961,Promedio
5,14,15,16,21,4.411056105610561,Promedio
5,12,16,21,35,4.411056105610561,Promedio
12,14,16,21,35,4.410597726439311,Promedio
5,16,21,33,35,4.402498821310703,Promedio
14,16,21,33,35,4.402040442139452,Promedio
5,11,15,16,35,4.3977788255015975,Promedio
11,14,15,16,35,4.3973204463303475,Promedio
5,11,14,28,35,4.396697050657447,Promedio
5,12,14,21,35,4.395746241290795,Promedio
5,14,21,33,35,4.387188956990937,Promedio
5,11,14,16,28,4.385287338257635,Promedio
5,12,14,16,21,4.384336528890984,Promedio
5,11,14,15,35,4.382468961181832,Promedio
5,14,16,21,33,4.375779244591126,Promedio
5,11,14,15,16,4.371059248782021,Promedio
5,11,12,16,35,4.371059248782021,Promedio
11,12,14,16,35,4.3706008696107705,Promedio
5,16,21,24,35,4.362960867515323,Promedio
14,16,21,24,35,4.362502488344072,Promedio
5,11,16,33,35,4.3625019644821625,Promedio
11,14,16,33,35,4.362043585310912,Promedio
5,15,16,28,35,4.358567761538059,Promedio
14,15,16,28,35,4.358109382366808,Promedio
5,11,12,14,35,4.355749384462255,Promedio
5,14,21,24,35,4.3476510031955575,Promedio
5,11,14,33,35,4.347192100162397,Promedio
1,5,16,21,35,4.345471690026145,Promedio
1,14,16,21,35,4.345013310854895,Promedio
5,11,12,14,16,4.344339672062444,Promedio
5,14,15,28,35,4.343257897218294,Promedio
5,14,16,21,24,4.336241290795746,Promedio
5,11,14,16,33,4.335782387762586,Promedio
5,14,15,16,28,4.331848184818482,Promedio
5,12,16,28,35,4.331848184818482,Promedio
12,14,16,28,35,4.331389805647231,Promedio
1,5,14,21,35,4.33016182570638,Promedio
5,16,28,33,35,4.323290900518623,Promedio
5,11,16,24,35,4.322964010686783,Promedio
14,16,28,33,35,4.322832521347372,Promedio
11,14,16,24,35,4.322505631515533,Promedio
1,5,14,16,21,4.3187521133065685,Promedio
11,16,21,28,35,4.3179475090366175,Promedio
5,12,15,16,35,4.317620095342868,Promedio
12,14,15,16,35,4.317161716171617,Promedio
5,12,14,28,35,4.316538320498717,Promedio
5,15,16,33,35,4.309062811043009,Promedio
14,15,16,33,35,4.308604431871759,Promedio
5,14,28,33,35,4.307981036198858,Promedio
5,11,14,24,35,4.3076541463670175,Promedio
1,5,11,16,35,4.305474833197605,Promedio
5,12,14,16,28,4.305128608098905,Promedio
1,11,14,16,35,4.3050164540263545,Promedio
11,15,16,21,35,4.303719419561004,Promedio
5,11,21,28,35,4.303096023888103,Promedio
11,14,21,28,35,4.302637644716852,Promedio
5,12,14,15,35,4.302310231023102,Promedio
5,14,16,28,33,4.296571323799046,Promedio
5,11,14,16,24,4.296244433967206,Promedio
5,14,15,33,35,4.293752946723243,Promedio
5,11,16,21,28,4.2916863114882915,Promedio
11,14,16,21,28,4.2912279323170415,Promedio
5,12,14,15,16,4.290900518623291,Promedio
1,5,11,14,35,4.29016496887784,Promedio
5,11,15,21,35,4.2888679344124885,Promedio
11,14,15,21,35,4.2884095552412385,Promedio
5,16,24,28,35,4.283752946723244,Promedio
14,16,24,28,35,4.283294567551993,Promedio
5,12,16,33,35,4.282343234323433,Promedio
5,14,15,16,33,4.282343234323432,Promedio
12,14,16,33,35,4.281884855152182,Promedio
1,5,11,14,16,4.2787552564780285,Promedio
5,11,15,16,21,4.277458222012677,Promedio
11,14,15,16,21,4.276999842841427,Promedio
11,12,16,21,35,4.276999842841427,Promedio
5,11,14,21,28,4.276376447168526,Promedio
5,15,16,24,35,4.26952485724763,Promedio
14,15,16,24,35,4.269066478076379,Promedio
5,14,24,28,35,4.268443082403479,Promedio
11,16,21,33,35,4.268442558541568,Promedio
5,12,14,33,35,4.267033370003667,Promedio
1,5,16,28,35,4.266263769234067,Promedio
1,14,16,28,35,4.265805390062816,Promedio
15,16,21,28,35,4.2645083555974646,Promedio
5,11,12,21,35,4.262148357692912,Promedio
5,11,14,15,21,4.262148357692912,Promedio
11,12,14,21,35,4.2616899785216615,Promedio
5,14,16,24,28,4.257033370003667,Promedio
5,12,14,16,33,4.255623657603856,Promedio
5,14,15,24,35,4.254214992927864,Promedio
5,11,21,33,35,4.2535910733930535,Promedio
11,14,21,33,35,4.253132694221803,Promedio
1,5,15,16,35,4.2520356797584515,Promedio
1,14,15,16,35,4.2515773005872015,Promedio
1,5,14,28,35,4.250953904914301,Promedio
5,11,12,16,21,4.2507386452931,Promedio
11,12,14,16,21,4.25028026612185,Promedio
5,15,21,28,35,4.24965687044895,Promedio
14,15,21,28,35,4.249198491277699,Promedio
5,14,15,16,24,4.242805280528053,Promedio
5,12,16,24,35,4.242805280528053,Promedio
12,14,16,24,35,4.242346901356802,Promedio
5,11,16,21,33,4.242181360993242,Promedio
11,14,16,21,33,4.241722981821992,Promedio
1,5,14,16,28,4.23954419251449,Promedio
5,15,16,21,28,4.2382471580491385,Promedio
14,15,16,21,28,4.2377887788778885,Promedio
12,16,21,28,35,4.237788778877888,Promedio
1,5,14,15,35,4.236725815438687,Promedio
5,11,12,14,21,4.235428780973335,Promedio
5,16,24,33,35,4.234247996228195,Promedio
14,16,24,33,35,4.233789617056944,Promedio
16,21,28,33,35,4.229231494578029,Promedio
11,16,21,24,35,4.228904604746189,Promedio
5,12,14,24,35,4.227495416208288,Promedio
5,11,14,21,33,4.226871496673477,Promedio
1,5,12,16,35,4.2253161030388755,Promedio
