N1,N2,N3,N4,N5,Peso,MetodoCalculo
6,7,9,22,29,4.882352941176471,Mediana
6,7,9,19,29,4.833333333333333,Mediana
2,6,7,9,29,4.833333333333333,Mediana
6,7,9,29,36,4.777777777777778,Mediana
6,7,9,17,29,4.75,Mediana
2,6,7,22,29,4.715686274509804,Mediana
2,7,9,22,29,4.715686274509804,Mediana
6,9,19,22,29,4.715686274509804,Mediana
2,6,9,22,29,4.715686274509804,Mediana
6,7,19,22,29,4.715686274509804,Mediana
7,9,19,22,29,4.715686274509804,Mediana
6,7,9,19,22,4.715686274509804,Mediana
2,6,7,9,22,4.715686274509804,Mediana
6,7,9,29,30,4.714285714285714,Mediana
4,6,7,9,29,4.708333333333333,Mediana
2,6,7,9,19,4.666666666666667,Mediana
2,6,7,19,29,4.666666666666667,Mediana
2,6,9,19,29,4.666666666666667,Mediana
6,7,9,29,34,4.666666666666667,Mediana
2,7,9,19,29,4.666666666666667,Mediana
6,7,22,29,36,4.660130718954249,Mediana
7,9,22,29,36,4.660130718954249,Mediana
6,7,9,22,36,4.660130718954249,Mediana
6,9,22,29,36,4.660130718954249,Mediana
6,9,17,22,29,4.632352941176471,Mediana
6,7,9,17,22,4.632352941176471,Mediana
6,7,17,22,29,4.632352941176471,Mediana
7,9,17,22,29,4.632352941176471,Mediana
6,9,19,29,36,4.611111111111112,Mediana
2,6,7,29,36,4.611111111111112,Mediana
6,7,19,29,36,4.611111111111112,Mediana
2,6,9,29,36,4.611111111111112,Mediana
7,9,19,29,36,4.611111111111112,Mediana
2,7,9,29,36,4.611111111111112,Mediana
6,7,9,19,36,4.611111111111112,Mediana
2,6,7,9,36,4.611111111111112,Mediana
6,7,9,22,30,4.5966386554621845,Mediana
6,7,22,29,30,4.5966386554621845,Mediana
7,9,22,29,30,4.5966386554621845,Mediana
6,9,22,29,30,4.5966386554621845,Mediana
4,6,9,22,29,4.590686274509804,Mediana
4,7,9,22,29,4.590686274509804,Mediana
4,6,7,22,29,4.590686274509804,Mediana
4,6,7,9,22,4.590686274509804,Mediana
6,7,17,19,29,4.583333333333334,Mediana
2,6,9,17,29,4.583333333333334,Mediana
6,9,17,19,29,4.583333333333334,Mediana
2,6,7,17,29,4.583333333333334,Mediana
7,9,17,19,29,4.583333333333334,Mediana
2,7,9,17,29,4.583333333333334,Mediana
6,7,9,17,19,4.583333333333334,Mediana
2,6,7,9,17,4.583333333333334,Mediana
2,6,7,19,22,4.549019607843137,Mediana
2,7,19,22,29,4.549019607843137,Mediana
2,6,19,22,29,4.549019607843137,Mediana
6,9,22,29,34,4.549019607843137,Mediana
2,7,9,19,22,4.549019607843137,Mediana
7,9,22,29,34,4.549019607843137,Mediana
2,9,19,22,29,4.549019607843137,Mediana
2,6,9,19,22,4.549019607843137,Mediana
6,7,9,22,34,4.549019607843137,Mediana
6,7,22,29,34,4.549019607843137,Mediana
7,9,19,29,30,4.5476190476190474,Mediana
2,6,7,9,30,4.5476190476190474,Mediana
6,9,19,29,30,4.5476190476190474,Mediana
2,6,9,29,30,4.5476190476190474,Mediana
2,7,9,29,30,4.5476190476190474,Mediana
2,6,7,29,30,4.5476190476190474,Mediana
6,7,19,29,30,4.5476190476190474,Mediana
6,7,9,19,30,4.5476190476190474,Mediana
4,6,9,19,29,4.541666666666667,Mediana
2,4,6,7,29,4.541666666666667,Mediana
4,6,7,9,19,4.541666666666667,Mediana
2,4,6,7,9,4.541666666666667,Mediana
4,7,9,19,29,4.541666666666667,Mediana
4,6,7,19,29,4.541666666666667,Mediana
2,4,6,9,29,4.541666666666667,Mediana
2,4,7,9,29,4.541666666666667,Mediana
7,9,17,29,36,4.527777777777778,Mediana
6,7,9,17,36,4.527777777777778,Mediana
6,9,17,29,36,4.527777777777778,Mediana
6,7,17,29,36,4.527777777777778,Mediana
2,6,7,29,34,4.5,Mediana
6,7,19,29,34,4.5,Mediana
2,7,9,29,34,4.5,Mediana
7,9,19,29,34,4.5,Mediana
2,6,9,29,34,4.5,Mediana
6,9,19,29,34,4.5,Mediana
2,6,7,9,34,4.5,Mediana
6,7,9,19,34,4.5,Mediana
6,9,19,22,36,4.493464052287582,Mediana
9,19,22,29,36,4.493464052287582,Mediana
2,9,22,29,36,4.493464052287582,Mediana
7,9,19,22,36,4.493464052287582,Mediana
2,7,22,29,36,4.493464052287582,Mediana
2,6,22,29,36,4.493464052287582,Mediana
2,7,9,22,36,4.493464052287582,Mediana
6,19,22,29,36,4.493464052287582,Mediana
7,19,22,29,36,4.493464052287582,Mediana
2,6,9,22,36,4.493464052287582,Mediana
2,6,7,22,36,4.493464052287582,Mediana
6,7,19,22,36,4.493464052287582,Mediana
6,7,29,30,36,4.492063492063492,Mediana
7,9,29,30,36,4.492063492063492,Mediana
6,7,9,30,36,4.492063492063492,Mediana
6,9,29,30,36,4.492063492063492,Mediana
4,6,7,29,36,4.486111111111111,Mediana
4,6,9,29,36,4.486111111111111,Mediana
4,7,9,29,36,4.486111111111111,Mediana
4,6,7,9,36,4.486111111111111,Mediana
6,17,19,22,29,4.465686274509804,Mediana
2,6,7,17,22,4.465686274509804,Mediana
2,9,17,22,29,4.465686274509804,Mediana
2,6,9,17,22,4.465686274509804,Mediana
2,7,9,17,22,4.465686274509804,Mediana
2,6,17,22,29,4.465686274509804,Mediana
9,17,19,22,29,4.465686274509804,Mediana
2,7,17,22,29,4.465686274509804,Mediana
6,7,17,19,22,4.465686274509804,Mediana
7,17,19,22,29,4.465686274509804,Mediana
7,9,17,19,22,4.465686274509804,Mediana
6,9,17,19,22,4.465686274509804,Mediana
6,9,17,29,30,4.464285714285714,Mediana
7,9,17,29,30,4.464285714285714,Mediana
6,7,9,17,30,4.464285714285714,Mediana
6,7,17,29,30,4.464285714285714,Mediana
4,7,9,17,29,4.458333333333333,Mediana
4,6,9,17,29,4.458333333333333,Mediana
4,6,7,17,29,4.458333333333333,Mediana
4,6,7,9,17,4.458333333333333,Mediana
6,9,29,34,36,4.444444444444445,Mediana
2,7,19,29,36,4.444444444444445,Mediana
2,6,9,19,36,4.444444444444445,Mediana
2,6,7,19,36,4.444444444444445,Mediana
7,9,29,34,36,4.444444444444445,Mediana
6,7,29,34,36,4.444444444444445,Mediana
6,7,9,34,36,4.444444444444445,Mediana
2,7,9,19,36,4.444444444444445,Mediana
2,6,19,29,36,4.444444444444445,Mediana
2,9,19,29,36,4.444444444444445,Mediana
2,7,22,29,30,4.4299719887955185,Mediana
7,19,22,29,30,4.4299719887955185,Mediana
2,6,22,29,30,4.4299719887955185,Mediana
6,9,19,22,30,4.4299719887955185,Mediana
2,6,9,22,30,4.4299719887955185,Mediana
2,9,22,29,30,4.4299719887955185,Mediana
7,9,19,22,30,4.4299719887955185,Mediana
2,6,7,22,30,4.4299719887955185,Mediana
6,19,22,29,30,4.4299719887955185,Mediana
6,7,19,22,30,4.4299719887955185,Mediana
9,19,22,29,30,4.4299719887955185,Mediana
2,7,9,22,30,4.4299719887955185,Mediana
2,4,6,22,29,4.424019607843137,Mediana
4,7,19,22,29,4.424019607843137,Mediana
2,4,6,7,22,4.424019607843137,Mediana
4,6,7,19,22,4.424019607843137,Mediana
2,4,7,22,29,4.424019607843137,Mediana
2,4,7,9,22,4.424019607843137,Mediana
4,7,9,19,22,4.424019607843137,Mediana
4,6,9,19,22,4.424019607843137,Mediana
4,9,19,22,29,4.424019607843137,Mediana
4,6,19,22,29,4.424019607843137,Mediana
2,4,6,9,22,4.424019607843137,Mediana
2,4,9,22,29,4.424019607843137,Mediana
4,6,9,29,30,4.4226190476190474,Mediana
4,7,9,29,30,4.4226190476190474,Mediana
4,6,7,9,30,4.4226190476190474,Mediana
4,6,7,29,30,4.4226190476190474,Mediana
2,7,9,17,19,4.416666666666667,Mediana
6,7,9,17,34,4.416666666666667,Mediana
2,6,17,19,29,4.416666666666667,Mediana
7,9,17,29,34,4.416666666666667,Mediana
2,7,17,19,29,4.416666666666667,Mediana
6,7,17,29,34,4.416666666666667,Mediana
6,9,17,29,34,4.416666666666667,Mediana
2,6,7,17,19,4.416666666666667,Mediana
2,9,17,19,29,4.416666666666667,Mediana
2,6,9,17,19,4.416666666666667,Mediana
7,17,22,29,36,4.410130718954248,Mediana
6,9,17,22,36,4.410130718954248,Mediana
6,7,17,22,36,4.410130718954248,Mediana
9,17,22,29,36,4.410130718954248,Mediana
6,17,22,29,36,4.410130718954248,Mediana
7,9,17,22,36,4.410130718954248,Mediana
7,19,22,29,34,4.382352941176471,Mediana
2,6,9,22,34,4.382352941176471,Mediana
6,9,19,22,34,4.382352941176471,Mediana
2,9,22,29,34,4.382352941176471,Mediana
2,7,22,29,34,4.382352941176471,Mediana
6,19,22,29,34,4.382352941176471,Mediana
2,6,22,29,34,4.382352941176471,Mediana
7,9,19,22,34,4.382352941176471,Mediana
9,19,22,29,34,4.382352941176471,Mediana
2,6,7,22,34,4.382352941176471,Mediana
6,7,19,22,34,4.382352941176471,Mediana
2,7,9,22,34,4.382352941176471,Mediana
6,9,29,30,34,4.380952380952381,Mediana
2,9,19,29,30,4.380952380952381,Mediana
6,7,29,30,34,4.380952380952381,Mediana
6,7,9,30,34,4.380952380952381,Mediana
2,6,19,29,30,4.380952380952381,Mediana
7,9,29,30,34,4.380952380952381,Mediana
2,7,19,29,30,4.380952380952381,Mediana
2,6,9,19,30,4.380952380952381,Mediana
2,6,7,19,30,4.380952380952381,Mediana
2,7,9,19,30,4.380952380952381,Mediana
4,6,7,9,34,4.375,Mediana
2,4,6,19,29,4.375,Mediana
2,4,6,9,19,4.375,Mediana
4,6,9,29,34,4.375,Mediana
2,4,9,19,29,4.375,Mediana
4,7,9,29,34,4.375,Mediana
4,6,7,29,34,4.375,Mediana
2,4,7,19,29,4.375,Mediana
2,4,6,7,19,4.375,Mediana
2,4,7,9,19,4.375,Mediana
7,22,29,30,36,4.374416433239962,Mediana
9,22,29,30,36,4.374416433239962,Mediana
